product,canonical,status,sha256,extra_count,p1_fail,p2_fail,sheet_count,formula_count,chart_count,real_hyperlinks,reason
akilli-kasa-defteri-ve-nakit-kontrol-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/akilli-kasa-defteri-ve-nakit-kontrol-sistemi/AkilliKasaDefteriVeNakitKontrolSistemi.xlsx,READY_FOR_REVIEW,4037f79bd658bf7c48da920ab71d5ea79dcfa170f04e9ed7b0670f1fe98801a2,0,0,0,22,419,8,42,
amortisman-2026-yeniden-degerleme,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/amortisman-2026-yeniden-degerleme/Amortisman2026YenidenDegerleme.xlsx,READY_FOR_REVIEW,c48176e68d1139806b37701843026e3e3bac62d502c4569d341a9f6e67a95d02,0,0,0,14,12137,11,26,
amortisman-ve-sabit-kiymet-satis-zamanlama-stratejisti,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/amortisman-ve-sabit-kiymet-satis-zamanlama-stratejisti/AmortismanVeSabitKiymetSatisZamanlamaStratejisti.xlsx,READY_FOR_REVIEW,e7f5ad742b7847cdc275b93bb22ae73ce39e8d1658805f982a276f9cfd3cc0fb,0,0,0,18,9238,9,34,
arsa-ve-gayrimenkul-proje-gelistirme-fizibilite,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/arsa-ve-gayrimenkul-proje-gelistirme-fizibilite/current.xlsx,READY_FOR_REVIEW,c73620daa2e5786ab58de72b2d9b28539476a4f85742bd9cdc730e5c8e88348a,0,0,0,38,88,0,74,
asgari-kurumlar-vergisi-simulasyon-motoru,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/asgari-kurumlar-vergisi-simulasyon-motoru/AsgariKurumlarVergisiSimulasyonMotoru.xlsx,READY_FOR_REVIEW,4437377acc00fbdac1b75ea8e81b6103e6c5038ec41b23898f29b4b026618244,0,0,0,15,4248,9,28,
asgari-ucret-zam-etkisi-fiyat-ayarlama-cetveli,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/asgari-ucret-zam-etkisi-fiyat-ayarlama-cetveli/AsgariUcretZamEtkisiFiyatAyarlamaCetveli.xlsx,READY_FOR_REVIEW,dbc5917de3150567055764db7f389c50ed115f0d7f8ce890e5b1838f6b897af6,0,0,0,17,349,6,32,
asiri-dusuk-teklif-savunma-robotu,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/asiri-dusuk-teklif-savunma-robotu/AsiriDusukTeklifSavunmaRobotu.xlsx,READY_FOR_REVIEW,138c5adc7391efb26c28e93e054d4a008c86cbd82a68a8764eeb0e79f93cadc1,0,0,0,20,10242,8,38,
aylik-patron-finans-paneli,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/aylik-patron-finans-paneli/AylikPatronFinansPaneli.xlsx,READY_FOR_REVIEW,f271b7d4f45ed22ab83f07782ccb9266db44ac61009bdf57f9cf2dafb2055336,0,0,0,19,403,8,36,
banka-kredi-covenant-erken-uyari,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/banka-kredi-covenant-erken-uyari/BankaKrediCovenantErkenUyari.xlsx,READY_FOR_REVIEW,aa719a40813fdca025e24b38d724fd44e790e8a09b228ba0bd0f0e8e534e1a18,0,0,0,18,9303,8,34,
banka-kredi-ve-taksit-takip-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/banka-kredi-ve-taksit-takip-sistemi/BankaKrediVeTaksitTakipSistemi.xlsx,READY_FOR_REVIEW,266d9594d6d657b4d6c01ea7758dc5c53668a9b07d5c5d4caf359ac72953fc58,0,0,0,25,1167,8,48,
borcla-sirket-satin-alma-ve-yatirim-getirisi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/borcla-sirket-satin-alma-ve-yatirim-getirisi/current.xlsx,READY_FOR_REVIEW,7de3ee908f69687987ee989ebe61b497b61847a7956796437cb87dbd84488003,0,0,0,38,88,0,74,
cari-ba-bs-toplu-mutabakat,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/cari-ba-bs-toplu-mutabakat/CariBaBsTopluMutabakat.xlsx,READY_FOR_REVIEW,be0f0b44da25ec4de973dbfb4ba82fea4b483dd512cd229e6f3e0e18b2924212,0,0,0,16,23646,8,30,
cari-hesap-tahsilat-ve-musteri-risk-takip-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/cari-hesap-tahsilat-ve-musteri-risk-takip-sistemi/CariHesapTahsilatVeMusteriRiskTakipSistemi.xlsx,READY_FOR_REVIEW,fe5c1fdfca30cb8825f08fb5f7e5bcf043f0fe5a8d67b3daaed6bf69b436c7ab,0,0,0,24,2864,8,46,
cek-senet-vade-risk-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/cek-senet-vade-risk-sistemi/CekSenetVadeRiskSistemi.xlsx,READY_FOR_REVIEW,5a62eda01345e78a6897e659af08a722407b0be7f9c1daf441a7d5f03811fbfe,0,0,0,19,7738,9,32,
dava-masraf-harc-hesaplama,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/dava-masraf-harc-hesaplama/DavaMasrafHarcHesaplama.xlsx,READY_FOR_REVIEW,a216f6cd8c401a7e5d2da3177e70af69f6ac8b2edda2579d7bd6f2c94eac6a83,0,0,0,15,1288,9,28,
defter-beyan-e-arsiv-aktarim,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/defter-beyan-e-arsiv-aktarim/DefterBeyanEArsivAktarim.xlsx,READY_FOR_REVIEW,ce3f4633ed35818dba718e1dc18b3e54c30b3d0d316f40e32613d24ccc0121f5,0,0,0,17,54157,8,32,
