taraf,vkn,unvan,donem,belge_no,tarih,tutar,form_tipi,islem_tipi,belge_adet,not
A,1000000017,Örnek Cari 01 Ltd.,2026-07,BLG2001,2026-07-07,10137.5,,Satış,,cari
B,1000000017,Örnek Cari 01 Ltd.,2026-07,,2026-07-07,10137.5,Bs,,2,ba_bs
A,1000000034,Örnek Cari 02 Ltd.,2026-07,BLG2002,2026-07-08,10275.0,,Alış,,cari
B,1000000034,Örnek Cari 02 Ltd.,2026-07,,2026-07-08,10275.0,Ba,,3,ba_bs
A,100000005,Örnek Cari 03 Ltd.,2026-07,BLG2003,2026-07-09,10412.5,,Satış,,cari
B,1000000051,Örnek Cari 03 Ltd.,2026-07,,2026-07-09,10412.5,Bs,,1,ba_bs
A,1000000068,Örnek Cari 04 Ltd.,2026-07,BLG2004,2026-07-10,10550.0,,Alış,,cari
B,1000000068,Örnek Cari 04 Ltd.,2026-07,,2026-07-10,10550.0,Ba,,2,ba_bs
A,1000000085,Örnek Cari 05 Ltd.,2026-07,BLG2005,2026-07-11,10687.5,,Satış,,cari
B,1000000085,Örnek Cari 05 Ltd.,2026-07,,2026-07-11,10687.5,Bs,,3,ba_bs
A,1000000102,Örnek Cari 06 Ltd.,2026-07,BLG2006,2026-07-12,10825.0,,Alış,,cari
B,1000000102,Örnek Cari 06 Ltd.,2026-07,,2026-07-12,10825.0,Ba,,1,ba_bs
A,100000011,Örnek Cari 07 Ltd.,2026-07,BLG2007,2026-07-13,10962.5,,Satış,,cari
B,1000000119,Örnek Cari 07 Ltd.,2026-07,,2026-07-13,10962.5,Bs,,2,ba_bs
A,1000000136,Örnek Cari 08 Ltd.,2026-07,BLG2008,2026-07-14,11100.0,,Alış,,cari
B,1000000136,Örnek Cari 08 Ltd.,2026-07,,2026-07-14,10974.5,Ba,,3,ba_bs
A,1000000153,Örnek Cari 09 Ltd.,2026-07,BLG2009,2026-07-15,11237.5,,Satış,,cari
B,1000000153,Örnek Cari 09 Ltd.,2026-07,,2026-07-15,11237.5,Bs,,1,ba_bs
A,1000000170,Örnek Cari 10 Ltd.,2026-07,BLG2010,2026-07-16,11375.0,,Alış,,cari
B,1000000170,Örnek Cari 10 Ltd.,2026-07,,2026-07-16,11375.0,Ba,,2,ba_bs
A,100000018,Örnek Cari 11 Ltd.,2026-07,BLG2011,2026-07-17,11512.5,,Satış,,cari
B,1000000187,Örnek Cari 11 Ltd.,2026-07,,2026-07-17,11512.53,Bs,,3,ba_bs
A,1000000204,Örnek Cari 12 Ltd.,2026-07,BLG2012,2026-07-18,11650.0,,Alış,,cari
B,1000000204,Örnek Cari 12 Ltd.,2026-07,,2026-07-18,11650.0,Ba,,1,ba_bs
A,1000000221,Örnek Cari 13 Ltd.,2026-07,BLG2013,2026-07-19,11787.5,,Satış,,cari
