taraf,fatura_no,tarih,vkn,unvan,matrah,kdv,toplam,tutar_b,belge_tipi,not
A,EAR2026100001,2026-07-06,1000000001,Ornek Firma 1 Ltd.,1047.5,209.5,1257.0,,IADE,eslesir
B,EAR2026100001,2026-07-06,1000000001,Ornek Firma 1 Ltd.,,,,1257.0,IADE,eslesir
A,EAR2026100002,2026-07-07,1000000002,Ornek Firma 2 Ltd.,1095.0,219.0,1314.0,,ISTISNA,eslesir
B,EAR2026100002,2026-07-07,1000000002,Ornek Firma 2 Ltd.,,,,1314.0,ISTISNA,eslesir
A,EAR202 6100003,2026-07-08,1000000003,Ornek Firma 3 Ltd.,1142.5,228.5,1371.0,,TEVKIFAT,eslesir
B,EAR2026100003,2026-07-08,1000000003,Ornek Firma 3 Ltd.,,,,1371.0,TEVKIFAT,eslesir
A,EAR2026100004,2026-07-09,1000000004,Ornek Firma 4 Ltd.,1190.0,238.0,1428.0,,DIGER,eslesir
B,EAR2026100004,2026-07-09,1000000004,Ornek Firma 4 Ltd.,,,,1428.0,DIGER,eslesir
A,EAR202610000,2026-07-10,1000000005,Ornek Firma 5 Ltd.,1237.5,247.5,1485.0,,SATIS,eslesmez
B,EAR2026100005,2026-07-10,1000000005,Ornek Firma 5 Ltd.,,,,1485.0,SATIS,eslesmez
A,EAR2026100006,2026-07-11,1000000006,Ornek Firma 6 Ltd.,1285.0,257.0,1542.0,,IADE,eslesir
B,EAR2026100006,2026-07-11,1000000006,Ornek Firma 6 Ltd.,,,,1542.0,IADE,eslesir
A,EAR202 6100007,2026-07-12,1000000007,Ornek Firma 7 Ltd.,1332.5,266.5,1599.0,,ISTISNA,eslesir
B,EAR2026100007,2026-07-12,1000000007,Ornek Firma 7 Ltd.,,,,1599.0,ISTISNA,eslesir
A,EAR2026100008,2026-07-13,1000000008,Ornek Firma 8 Ltd.,1380.0,276.0,1656.0,,TEVKIFAT,tutar_farki
B,EAR2026100008,2026-07-13,1000000008,Ornek Firma 8 Ltd.,,,,1643.5,TEVKIFAT,tutar_farki
A,EAR202610000,2026-07-14,1000000009,Ornek Firma 9 Ltd.,1427.5,285.5,1713.0,,DIGER,eslesmez
B,EAR2026100009,2026-07-14,1000000009,Ornek Firma 9 Ltd.,,,,1713.0,DIGER,eslesmez
A,EAR2026100010,2026-07-15,1000000010,Ornek Firma 10 Ltd.,1475.0,295.0,1770.0,,SATIS,eslesir
B,EAR2026100010,2026-07-15,1000000010,Ornek Firma 10 Ltd.,,,,1770.0,SATIS,eslesir
A,EAR202 6100011,2026-07-16,1000000011,Ornek Firma 11 Ltd.,1522.5,304.5,1827.0,,IADE,tolerans
B,EAR2026100011,2026-07-16,1000000011,Ornek Firma 11 Ltd.,,,,1827.03,IADE,tolerans
A,EAR2026100012,2026-07-17,1000000012,Ornek Firma 12 Ltd.,1570.0,314.0,1884.0,,ISTISNA,eslesir
B,EAR2026100012,2026-07-17,1000000012,Ornek Firma 12 Ltd.,,,,1884.0,ISTISNA,eslesir
A,EAR2026100013,2026-07-18,1000000013,Ornek Firma 13 Ltd.,1617.5,323.5,1941.0,,TEVKIFAT,eslesir
B,EAR2026100013,2026-07-18,1000000013,Ornek Firma 13 Ltd.,,,,1941.0,TEVKIFAT,eslesir
A,EAR2026100014,2026-07-19,1000000014,Ornek Firma 14 Ltd.,1665.0,333.0,1998.0,,DIGER,eslesir
B,EAR2026100014,2026-07-19,1000000014,Ornek Firma 14 Ltd.,,,,1998.0,DIGER,eslesir
A,EAR2026100015,2026-07-20,1000000015,Ornek Firma 15 Ltd.,1712.5,342.5,2055.0,,SATIS,eslesmez
B,EAR2026109015,2026-07-20,1000000015,Ornek Firma 15 Ltd.,,,,2055.0,SATIS,eslesmez
A,EAR2026100016,2026-07-21,1000000016,Ornek Firma 16 Ltd.,1760.0,352.0,2112.0,,IADE,tutar_farki
B,EAR2026100016,2026-07-21,1000000016,Ornek Firma 16 Ltd.,,,,2099.5,IADE,tutar_farki
A,EAR2026100017,2026-07-22,1000000017,Ornek Firma 17 Ltd.,1807.5,361.5,2169.0,,ISTISNA,eslesir
B,EAR2026100017,2026-07-22,1000000017,Ornek Firma 17 Ltd.,,,,2169.0,ISTISNA,eslesir
A,EAR2026100018,2026-07-23,1000000018,Ornek Firma 18 Ltd.,1855.0,371.0,2226.0,,TEVKIFAT,eslesir
B,EAR2026100018,2026-07-23,1000000018,Ornek Firma 18 Ltd.,,,,2226.0,TEVKIFAT,eslesir
A,EAR2026100019,2026-07-24,1000000019,Ornek Firma 19 Ltd.,1902.5,380.5,2283.0,,DIGER,eslesir
B,EAR2026100019,2026-07-24,1000000019,Ornek Firma 19 Ltd.,,,,2283.0,DIGER,eslesir
A,EAR2026100020,2026-07-25,1000000020,Ornek Firma 20 Ltd.,1950.0,390.0,2340.0,,SATIS,eslesir
B,EAR2026100020,2026-07-25,1000000020,Ornek Firma 20 Ltd.,,,,2340.0,SATIS,eslesir
A,EAR2026100021,2026-07-26,10000000,Ornek Firma 21 Ltd.,1997.5,399.5,2397.0,,IADE,hata_vkn
B,EAR2026100021,2026-07-26,1000000021,Ornek Firma 21 Ltd.,,,,2397.0,IADE,hata_vkn
A,EAR2026100022,2026-07-27,1000000022,Ornek Firma 22 Ltd.,2045.0,409.0,2454.0,,ISTISNA,tolerans
B,EAR2026100022,2026-07-27,1000000022,Ornek Firma 22 Ltd.,,,,2454.03,ISTISNA,tolerans
A,EAR2026100023,2026-07-28,1000000023,Ornek Firma 23 Ltd.,2092.5,418.5,2511.0,,TEVKIFAT,eslesir
B,EAR2026100023,2026-07-28,1000000023,Ornek Firma 23 Ltd.,,,,2511.0,TEVKIFAT,eslesir
A,EAR2026100024,2026-07-29,1000000024,Ornek Firma 24 Ltd.,2140.0,428.0,2568.0,,DIGER,tutar_farki
B,EAR2026100024,2026-07-29,1000000024,Ornek Firma 24 Ltd.,,,,2555.5,DIGER,tutar_farki
A,EAR2026100025,,1000000025,Ornek Firma 25 Ltd.,2187.5,437.5,2625.0,,SATIS,hata_tarih
B,EAR2026100025,2026-07-30,1000000025,Ornek Firma 25 Ltd.,,,,2625.0,SATIS,hata_tarih
A,EAR2026100026,2026-07-31,1000000026,Ornek Firma 26 Ltd.,2235.0,447.0,2682.0,,IADE,eslesir
B,EAR2026100026,2026-07-31,1000000026,Ornek Firma 26 Ltd.,,,,2682.0,IADE,eslesir
A,EAR2026100027,2026-08-01,1000000027,Ornek Firma 27 Ltd.,2282.5,456.5,2739.0,,ISTISNA,eslesir
B,EAR2026100027,2026-08-01,1000000027,Ornek Firma 27 Ltd.,,,,2739.0,ISTISNA,eslesir
A,EAR2026100028,2026-08-02,1000000028,Ornek Firma 28 Ltd.,2330.0,466.0,2796.0,,TEVKIFAT,eslesir
B,EAR2026100028,2026-08-02,1000000028,Ornek Firma 28 Ltd.,,,,2796.0,TEVKIFAT,eslesir
A,EAR2026100029,2026-08-03,1000000029,Ornek Firma 29 Ltd.,2377.5,475.5,-2853.0,,DIGER,hata_negatif
B,EAR2026100029,2026-08-03,1000000029,Ornek Firma 29 Ltd.,,,,2853.0,DIGER,hata_negatif
A,EAR2026100030,2026-08-04,1000000030,Ornek Firma 30 Ltd.,2425.0,485.0,2910.0,,SATIS,eslesir
B,EAR2026100030,2026-08-04,1000000030,Ornek Firma 30 Ltd.,,,,2910.0,SATIS,eslesir
A,EAR2026100031,2026-08-05,1000000031,Ornek Firma 31 Ltd.,2472.5,494.5,2967.0,,IADE,eslesir
B,EAR2026100031,2026-08-05,1000000031,Ornek Firma 31 Ltd.,,,,2967.0,IADE,eslesir
A,EAR2026100032,2026-08-06,1000000032,Ornek Firma 32 Ltd.,2520.0,504.0,3024.0,,ISTISNA,tutar_farki
B,EAR2026100032,2026-08-06,1000000032,Ornek Firma 32 Ltd.,,,,3011.5,ISTISNA,tutar_farki
A,EAR2026100033,2026-08-07,1000000033,Ornek Firma 33 Ltd.,2567.5,513.5,3081.0,,TEVKIFAT,tolerans
B,EAR2026100033,2026-08-07,1000000033,Ornek Firma 33 Ltd.,,,,3081.03,TEVKIFAT,tolerans
A,EAR2026100034,2026-08-08,1000000034,Ornek Firma 34 Ltd.,2615.0,523.0,3138.0,,DIGER,eslesir
B,EAR2026100034,2026-08-08,1000000034,Ornek Firma 34 Ltd.,,,,3138.0,DIGER,eslesir
A,EAR2026100035,2026-08-09,1000000035,Ornek Firma 35 Ltd.,2662.5,532.5,3195.0,,SATIS,eslesir
B,EAR2026100035,2026-08-09,1000000035,Ornek Firma 35 Ltd.,,,,3195.0,SATIS,eslesir
A,EAR2026100036,2026-08-10,1000000036,Ornek Firma 36 Ltd.,2710.0,542.0,3252.0,,IADE,eslesir
B,EAR2026100036,2026-08-10,1000000036,Ornek Firma 36 Ltd.,,,,3252.0,IADE,eslesir
A,EAR2026100037,2026-08-11,1000000037,Ornek Firma 37 Ltd.,2757.5,551.5,3309.0,,ISTISNA,eslesir
B,EAR2026100037,2026-08-11,1000000037,Ornek Firma 37 Ltd.,,,,3309.0,ISTISNA,eslesir
A,EAR2026100038,2026-08-12,1000000038,Ornek Firma 38 Ltd.,2805.0,561.0,3366.0,,TEVKIFAT,eslesir
B,EAR2026100038,2026-08-12,1000000038,Ornek Firma 38 Ltd.,,,,3366.0,TEVKIFAT,eslesir
A,EAR2026100039,2026-08-13,1000000039,Ornek Firma 39 Ltd.,2852.5,570.5,3423.0,,DIGER,eslesir
B,EAR2026100039,2026-08-13,1000000039,Ornek Firma 39 Ltd.,,,,3423.0,DIGER,eslesir
A,EAR2026100040,2026-08-14,1000000040,Ornek Firma 40 Ltd.,2900.0,580.0,3480.0,,SATIS,tutar_farki
