SatirId,VarlikId,Tarih,DolulukPct_pct,PaletAdet_adet,PickAdet_adet,OlayTuru
GLG-00001,LOC-00001,08.08.2026,0.63,57,31,MAL_KABUL
GLG-00002,LOC-00002,05.08.2026,0.71,58,42,TOPLAMA
GLG-00003,LOC-00003,02.08.2026,0.7,87,53,SEVK
GLG-00004,LOC-00004,30.07.2026,0.78,54,64,STOK_DUZELTME
GLG-00005,LOC-00005,27.07.2026,0.86,48,60,DIGER
GLG-00006,LOC-00006,24.07.2026,0.85,74,71,SAYIM
GLG-00007,LOC-00007,21.07.2026,0.58,66,82,MAL_KABUL
GLG-00008,LOC-00008,18.07.2026,0.66,42,93,TOPLAMA
GLG-00009,LOC-00001,15.07.2026,0.65,59,32,SEVK
GLG-00010,LOC-00002,12.07.2026,0.73,60,28,STOK_DUZELTME
GLG-00011,LOC-00003,09.07.2026,0.81,100,39,DIGER
GLG-00012,LOC-00004,06.07.2026,0.8,56,50,SAYIM
GLG-00013,LOC-00005,03.07.2026,0.88,49,61,MAL_KABUL
GLG-00014,LOC-00006,30.06.2026,0.61,53,72,TOPLAMA
GLG-00015,LOC-00007,27.06.2026,0.6,69,68,SEVK
GLG-00016,LOC-00008,24.06.2026,0.68,44,79,STOK_DUZELTME
GLG-00017,LOC-00001,21.06.2026,0.76,69,90,DIGER
GLG-00018,LOC-00002,18.06.2026,0.75,62,29,SAYIM
GLG-00019,LOC-00003,15.06.2026,0.83,102,40,MAL_KABUL
GLG-00020,LOC-00004,12.06.2026,0.91,63,36,TOPLAMA
GLG-00021,LOC-00005,09.06.2026,0.55,31,47,SEVK
GLG-00022,LOC-00006,06.06.2026,0.63,55,58,STOK_DUZELTME
GLG-00023,LOC-00007,03.06.2026,0.71,81,69,DIGER
GLG-00024,LOC-00008,31.05.2026,0.7,45,80,SAYIM
GLG-00025,LOC-00001,28.05.2026,0.78,71,76,MAL_KABUL
GLG-00026,LOC-00002,25.05.2026,0.86,70,87,TOPLAMA
GLG-00027,LOC-00003,22.05.2026,0.85,105,26,SEVK
GLG-00028,LOC-00004,19.05.2026,0.58,40,37,STOK_DUZELTME
GLG-00029,LOC-00005,16.05.2026,0.66,37,48,DIGER
GLG-00030,,13.05.2026,0.65,57,44,SAYIM
GLG-00031,LOC-00007,10.05.2026,0.73,83,55,MAL_KABUL
GLG-00032,LOC-00008,07.05.2026,0.81,52,66,TOPLAMA
GLG-00033,LOC-99999,04.05.2026,0.8,73,77,SEVK
GLG-00034,LOC-00002,01.05.2026,0.88,72,88,STOK_DUZELTME
GLG-00035,LOC-00003,28.04.2026,0.61,76,84,DIGER
GLG-00036,LOC-00004,25.04.2026,0.6,42,23,SAYIM
