BorcId,UyeId,Donem,BorcTutari,VadeTarihi
BRC-001,UYE-001,2026-07,400.0,2026-07-10
BRC-002,UYE-002,2026-07,450.0,2026-07-10
BRC-003,UYE-003,2026-07,400.0,2026-07-10
BRC-004,UYE-004,2026-07,400.0,2026-07-10
BRC-005,UYE-005,2026-07,450.0,2026-07-10
BRC-006,UYE-006,2026-07,350.0,2026-07-10
BRC-007,UYE-007,2026-07,400.0,2026-07-10
BRC-008,UYE-008,2026-07,450.0,2026-07-10
BRC-009,UYE-009,2026-07,350.0,2026-07-10
BRC-010,UYE-010,2026-07,400.0,2026-07-10
BRC-011,UYE-001,2026-08,470.0,2026-08-10
BRC-012,UYE-002,2026-08,350.0,2026-08-10
BRC-013,UYE-003,2026-08,390.0,2026-08-10
BRC-014,UYE-004,2026-08,430.0,2026-08-10
BRC-015,UYE-005,2026-08,470.0,2026-08-10
BRC-016,UYE-006,2026-08,350.0,2026-08-10
BRC-017,UYE-007,2026-08,390.0,2026-08-10
BRC-018,UYE-008,2026-08,430.0,2026-08-10
BRC-025,UYE-011,2026-08,380.0,2026-08-10
BRC-026,UYE-012,2026-08,360.0,2026-08-10
