taraf,uuid,fatura_no,tarih,vkn,unvan,matrah,kdv,toplam,tutar_b,belge_tipi,not
A,00000001-03e9-4001-a001-000000000011,EFT2026100001,2026-07-06,1000000001,Ornek Firma 1 Ltd.,1047.5,209.5,1257.0,,IADE,eslesir
B,00000001-03e9-4001-a001-000000000011,EFT2026100001,2026-07-06,1000000001,Ornek Firma 1 Ltd.,,,,1257.0,IADE,eslesir
A,00000002-03ea-4002-a002-000000000022,EFT2026100002,2026-07-07,1000000002,Ornek Firma 2 Ltd.,1095.0,219.0,1314.0,,ISTISNA,eslesir
B,00000002-03ea-4002-a002-000000000022,EFT2026100002,2026-07-07,1000000002,Ornek Firma 2 Ltd.,,,,1314.0,ISTISNA,eslesir
A,00000003-03eb-4003-a003-000000000033,EFT2026100003,2026-07-08,1000000003,Ornek Firma 3 Ltd.,1142.5,228.5,1371.0,,TEVKIFAT,eslesir
B,0000000303EB4003A003000000000033,EFT2026100003,2026-07-08,1000000003,Ornek Firma 3 Ltd.,,,,1371.0,TEVKIFAT,eslesir
A,00000004-03ec-4004-a004-000000000044,EFT2026100004,2026-07-09,1000000004,Ornek Firma 4 Ltd.,1190.0,238.0,1428.0,,DIGER,eslesir
B,00000004-03ec-4004-a004-000000000044,EFT2026100004,2026-07-09,1000000004,Ornek Firma 4 Ltd.,,,,1428.0,DIGER,eslesir
A,00000005-03ed-4005-a005-000000000055,EFT202610000,2026-07-10,1000000005,Ornek Firma 5 Ltd.,1237.5,247.5,1485.0,,SATIS,eslesir
B,00000005-03ed-4005-a005-000000000055,EFT2026100005,2026-07-10,1000000005,Ornek Firma 5 Ltd.,,,,1485.0,SATIS,eslesir
A,00000006-03ee-4006-a006-000000000066,EFT2026100006,2026-07-11,1000000006,Ornek Firma 6 Ltd.,1285.0,257.0,1542.0,,IADE,eslesir
B,00000006-03ee-4006-a006-000000000066,EFT2026100006,2026-07-11,1000000006,Ornek Firma 6 Ltd.,,,,1542.0,IADE,eslesir
A,00000007-03ef-4007-a007-000000000077,EFT2026100007,2026-07-12,1000000007,Ornek Firma 7 Ltd.,1332.5,266.5,1599.0,,ISTISNA,eslesir
B,0000000703EF4007A007000000000077,EFT2026100007,2026-07-12,1000000007,Ornek Firma 7 Ltd.,,,,1599.0,ISTISNA,eslesir
A,00000008-03f0-4008-a008-000000000088,EFT2026100008,2026-07-13,1000000008,Ornek Firma 8 Ltd.,1380.0,276.0,1656.0,,TEVKIFAT,tutar_farki
B,00000008-03f0-4008-a008-000000000088,EFT2026100008,2026-07-13,1000000008,Ornek Firma 8 Ltd.,,,,1643.5,TEVKIFAT,tutar_farki
A,00000009-03f1-4009-a009-000000000099,EFT202610000,2026-07-14,1000000009,Ornek Firma 9 Ltd.,1427.5,285.5,1713.0,,DIGER,eslesir
