SatirId,VarlikId,Tarih,Km_km,YakitLt_lt,BakimTl_tl,OlayTuru
GLG-00001,ARC-00001,08.08.2026,135,12.8,0,BAKIM
GLG-00002,ARC-00002,05.08.2026,190,19.4,0,YAKIT
GLG-00003,ARC-00003,02.08.2026,185,20.4,0,MUAYENE
GLG-00004,ARC-00004,30.07.2026,240,23.5,0,ARIZA
GLG-00005,ARC-00005,27.07.2026,295,42.8,570,DIGER
GLG-00006,ARC-00006,24.07.2026,290,29.0,0,SEFER
GLG-00007,ARC-00007,21.07.2026,100,8.5,0,BAKIM
GLG-00008,ARC-00008,18.07.2026,155,24.8,0,YAKIT
GLG-00009,ARC-00001,15.07.2026,150,14.2,0,MUAYENE
GLG-00010,ARC-00002,12.07.2026,205,20.9,690,ARIZA
GLG-00011,ARC-00003,09.07.2026,260,28.6,0,DIGER
GLG-00012,ARC-00004,06.07.2026,255,25.0,2200,SEFER
GLG-00013,ARC-00005,03.07.2026,310,45.0,0,BAKIM
GLG-00014,ARC-00006,30.06.2026,120,12.0,0,YAKIT
GLG-00015,ARC-00007,27.06.2026,115,9.8,810,MUAYENE
GLG-00016,ARC-00008,24.06.2026,170,27.2,0,ARIZA
GLG-00017,ARC-00001,21.06.2026,225,21.4,0,DIGER
GLG-00018,ARC-00002,18.06.2026,220,22.4,0,SEFER
GLG-00019,ARC-00003,15.06.2026,275,30.2,0,BAKIM
GLG-00020,ARC-00004,12.06.2026,330,32.3,450,YAKIT
GLG-00021,ARC-00005,09.06.2026,80,11.6,0,MUAYENE
GLG-00022,ARC-00006,06.06.2026,135,13.5,0,ARIZA
GLG-00023,ARC-00007,03.06.2026,190,16.1,0,DIGER
GLG-00024,ARC-00008,31.05.2026,185,29.6,2200,SEFER
GLG-00025,ARC-00001,28.05.2026,240,22.8,570,BAKIM
GLG-00026,ARC-00002,25.05.2026,295,30.1,0,YAKIT
GLG-00027,ARC-00003,22.05.2026,290,31.9,0,MUAYENE
GLG-00028,ARC-00004,19.05.2026,100,9.8,0,ARIZA
GLG-00029,ARC-00005,16.05.2026,155,22.5,0,DIGER
GLG-00030,,13.05.2026,150,15.0,690,SEFER
GLG-00031,ARC-00007,10.05.2026,205,17.4,0,BAKIM
GLG-00032,ARC-00008,07.05.2026,260,41.6,0,YAKIT
GLG-00033,ARC-99999,04.05.2026,255,24.2,0,MUAYENE
GLG-00034,ARC-00002,01.05.2026,310,31.6,0,ARIZA
GLG-00035,ARC-00003,28.04.2026,120,13.2,810,DIGER
GLG-00036,ARC-00004,25.04.2026,115,11.3,0,SEFER
