SatirId,VarlikId,Tarih,UretimKwh_kwh,IsinimKwhm2_kwhm2,KayipKwh_kwh,KayipTuru
GUP-00001,GES-00001,08.08.2026,341.9,3.85,120.1,GOLGE
GUP-00002,GES-00002,05.08.2026,2907.0,4.5,918.0,INVERTER
GUP-00003,GES-00003,02.08.2026,337.1,4.55,95.1,ARIZA
GUP-00004,GES-00004,30.07.2026,4992.0,5.2,1248.0,ISINIM
GUP-00005,GES-00005,27.07.2026,269.6,5.85,104.8,DIGER
GUP-00006,GES-00006,24.07.2026,2270.3,5.9,797.7,KIRLENME
GUP-00007,GES-00007,21.07.2026,284.2,3.4,89.8,GOLGE
GUP-00008,GES-00008,18.07.2026,1200.4,4.05,338.6,INVERTER
GUP-00009,GES-00001,15.07.2026,393.6,4.1,98.4,ARIZA
GUP-00010,GES-00002,12.07.2026,2907.0,4.75,1130.5,ISINIM
GUP-00011,GES-00003,09.07.2026,379.6,5.4,133.4,DIGER
GUP-00012,GES-00004,06.07.2026,3597.0,5.45,2943.0,KIRLENME
GUP-00013,GES-00005,03.07.2026,304.5,6.1,85.9,GOLGE
GUP-00014,GES-00006,30.06.2026,1497.6,3.6,374.4,INVERTER
GUP-00015,GES-00007,27.06.2026,289.1,3.65,112.4,ARIZA
GUP-00016,GES-00008,24.06.2026,1209.2,4.3,424.8,ISINIM
GUP-00017,GES-00001,21.06.2026,451.4,4.95,142.6,DIGER
GUP-00018,GES-00002,18.06.2026,3315.0,5.0,935.0,KIRLENME
GUP-00019,GES-00003,15.06.2026,429.4,5.65,107.4,GOLGE
GUP-00020,GES-00004,12.06.2026,5443.2,6.3,2116.8,INVERTER
GUP-00021,GES-00005,09.06.2026,151.6,3.2,53.2,ARIZA
GUP-00022,GES-00006,06.06.2026,1521.5,3.85,480.5,ISINIM
GUP-00023,GES-00007,03.06.2026,386.1,4.5,108.9,DIGER
GUP-00024,GES-00008,31.05.2026,951.0,4.55,778.0,KIRLENME
GUP-00025,GES-00001,28.05.2026,449.3,5.2,174.7,GOLGE
GUP-00026,GES-00002,25.05.2026,3679.7,5.85,1292.8,INVERTER
GUP-00027,GES-00003,22.05.2026,426.0,5.9,134.5,ARIZA
GUP-00028,GES-00004,19.05.2026,3182.4,3.4,897.6,ISINIM
GUP-00029,GES-00005,16.05.2026,207.4,4.05,51.8,DIGER
GUP-00030,,13.05.2026,1535.0,4.1,597.0,KIRLENME
GUP-00031,GES-00007,10.05.2026,386.6,4.75,135.9,GOLGE
GUP-00032,GES-00008,07.05.2026,1559.5,5.4,492.5,INVERTER
GUP-00033,GES-99999,04.05.2026,510.1,5.45,143.9,ARIZA
GUP-00034,GES-00002,01.05.2026,4148.0,6.1,1037.0,ISINIM
GUP-00035,GES-00003,28.04.2026,246.2,3.6,95.8,DIGER
GUP-00036,GES-00004,25.04.2026,3241.2,3.65,1138.8,KIRLENME
