SatirId,KalemId,Oran,Fire,Versiyon,Not
RC-01,HM-01,0.82,0.02,V2,Ana sut
RC-02,HM-02,0.08,0.01,V2,Krema
RC-03,HM-03,0.01,0.005,V2,Kultur
RC-04,HM-04,0.02,0.01,V2,Stabilizator
RC-05,HM-05,0.05,0.005,V2,Seker
RC-06,HM-06,0.015,0.02,V2,Kutu
RC-07,HM-07,0.005,0.01,V2,Etiket
RC-08,HM-01,0.78,0.03,V1,Eski sut
RC-09,HM-02,0.1,0.01,V1,Eski krema
RC-10,HM-03,0.01,0.005,V1,Eski kultur
RC-11,HM-04,0.03,0.01,V1,Eski stabil
RC-12,HM-05,0.06,0.005,V1,Eski seker
RC-13,HM-06,0.015,0.02,V1,Eski kutu
RC-14,HM-07,0.005,0.01,V1,Eski etiket
