ORNEK VERI — GÜNLÜK GELİR-GİDER VE GERÇEK KÂRLILIK SİSTEMİ
Bu dosya otomasyon ve içe aktarma için yapıdır; gelir/gider kayıtlarınızı CSV/Excel'den kopyalayabilirsiniz.
GELIR_GIDER_KAYIT (tblGelirGider)
Tarih,Belge No,İşlem Türü,Ana Sınıf,Kategori,Alt Kategori,Cari,Ürün/Hizmet,Proje,Açıklama,Miktar,Birim,Birim Fiyat,Tutar,KDV İşareti,Tahakkuk Tarihi,Nakit Tarihi,Nakit Gerçekleşti mi?,Sabit/Değişken,Doğrudan/Dolaylı,Tekrarlayan/Tek Seferlik,Ortak İşlemi,Finansman İşlemi,Yatırım İşlemi
2026-05-02,SAT-001,GELİR,SATIŞ,TİCARİ MAL,TEMEL GIDA,Yıldız Market,Ayçiçek Yağı 5L,BÖLGESEL SATIŞ,Toptan satış,1000,ADET,150,150000,HARİÇ,2026-05-02,2026-06-20,HAYIR,DEĞİŞKEN,DOĞRUDAN,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-03,AL-001,GİDER,SATIŞLARIN MALİYETİ,HAMMADDE,HUBUBAT,Tarım Ürünleri A.Ş.,Ayçiçek Çekirdeği,OPERASYON,Hammadde alımı,3000,KG,30,90000,HARİÇ,2026-05-03,2026-05-03,EVET,DEĞİŞKEN,DOĞRUDAN,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-05,SAT-002,GELİR,SATIŞ,TİCARİ MAL,TEMEL GIDA,Can Bakkaliye,Bulgur 50kg,BÖLGESEL SATIŞ,Toptan satış,400,ADET,100,40000,HARİÇ,2026-05-05,2026-05-25,EVET,DEĞİŞKEN,DOĞRUDAN,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-05,KIR-001,GİDER,KİRA,OFİS,DESTEK GİDERİ,Depo Sahibi,,OPERASYON,Depo ve ofis kirası,1,AY,25000,25000,DAHİL,2026-05-05,2026-05-05,EVET,SABİT,DOLAYLI,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-05,FIN-001,GİDER,FİNANSMAN GİDERİ,KOMİSYON,BANKA HİZMETİ,ABC Bankası,,KREDİ YAPISI,Kredi faizi,1,AY,6000,6000,DAHİL,2026-05-05,2026-05-05,EVET,SABİT,DOLAYLI,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-10,AL-002,GİDER,SATIŞLARIN MALİYETİ,HAMMADDE,HUBUBAT,Tarım Ürünleri A.Ş.,Bulgur Buğdayı,OPERASYON,Hammadde alımı,2000,KG,25,50000,HARİÇ,2026-05-10,2026-06-20,HAYIR,DEĞİŞKEN,DOĞRUDAN,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-12,SAT-003,GELİR,SATIŞ,TİCARİ MAL,TEMEL GIDA,Mega Market,Un 25kg,BÖLGESEL SATIŞ,Toptan satış,600,ADET,100,60000,HARİÇ,2026-05-12,2026-06-30,HAYIR,DEĞİŞKEN,DOĞRUDAN,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-12,NAK-001,GİDER,DEĞİŞKEN GİDER,NAKLİYE,SEVKİYAT,Nakliyeci Ali,,OPERASYON,Sevkiyat nakliyesi,1,GÜN,12000,12000,DAHİL,2026-05-12,2026-05-12,EVET,DEĞİŞKEN,DOLAYLI,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-15,PAZ-001,GİDER,PAZARLAMA,REKLAM,DİJİTAL PAZARLAMA,Medya Ajans,,OPERASYON,Sosyal medya reklamı,1,AY,8000,8000,DAHİL,2026-05-15,2026-05-15,EVET,SABİT,DOLAYLI,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-19,SAT-004,GELİR,SATIŞ,TİCARİ MAL,TEMEL GIDA,Süpermarket Zinciri,Mercimek,BÖLGESEL SATIŞ,Toptan satış,1000,ADET,50,50000,HARİÇ,2026-05-19,2026-06-10,EVET,DEĞİŞKEN,DOĞRUDAN,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
2026-05-25,PER-001,GİDER,PERSONEL,İKRAMİYE,MAAŞ YAN ÖDEMESİ,Personel,,OPERASYON,Maaş ödemesi,6,AY,9167,55000,DAHİL,2026-05-25,2026-05-25,EVET,SABİT,DOLAYLI,TEKRARLAYAN,HAYIR,HAYIR,HAYIR
SATIS_MALIYET (tblSatis)
Ürün/Hizmet,Kategori,Satış Adedi,Birim Fiyat,Birim Maliyet
Ayçiçek Yağı 5L,TİCARİ MAL,2250,150,100
Bulgur 50kg,TİCARİ MAL,1900,100,65
Un 25kg,TİCARİ MAL,2900,100,70
Mercimek,TİCARİ MAL,2700,50,32
