VekaletId,MuvekkilId,Donem,BorcTutari,VadeTarihi
VEK-001,MUV-001,2026-07,400.0,2026-07-10
VEK-002,MUV-002,2026-07,450.0,2026-07-10
VEK-003,MUV-003,2026-07,400.0,2026-07-10
VEK-004,MUV-004,2026-07,400.0,2026-07-10
VEK-005,MUV-005,2026-07,450.0,2026-07-10
VEK-006,MUV-006,2026-07,350.0,2026-07-10
VEK-007,MUV-007,2026-07,400.0,2026-07-10
VEK-008,MUV-008,2026-07,450.0,2026-07-10
VEK-009,MUV-009,2026-07,350.0,2026-07-10
VEK-010,MUV-010,2026-07,400.0,2026-07-10
VEK-011,MUV-001,2026-08,470.0,2026-08-10
VEK-012,MUV-002,2026-08,350.0,2026-08-10
VEK-013,MUV-003,2026-08,390.0,2026-08-10
VEK-014,MUV-004,2026-08,430.0,2026-08-10
VEK-015,MUV-005,2026-08,470.0,2026-08-10
VEK-016,MUV-006,2026-08,350.0,2026-08-10
VEK-017,MUV-007,2026-08,390.0,2026-08-10
VEK-018,MUV-008,2026-08,430.0,2026-08-10
VEK-025,MUV-011,2026-08,380.0,2026-08-10
VEK-026,MUV-012,2026-08,360.0,2026-08-10
