IslemId,KaynakKartId,SantiyeId,Tarih,OncekiDurum,Durum,Teklif,Siparis,Hakedis,Fatura,Odeme,Tutar,Donem,Aciklama
HAK-00001,KAR-00001,SAN-00001,11.08.2026,,DRAFT,112500,112500,112500,112500,0,112500,2026-08,Hakediş kalemi 1
HAK-00002,KAR-00002,SAN-00001,08.08.2026,DRAFT,BEKLIYOR,125000,125000,125000,125000,0,125000,2026-08,Hakediş kalemi 2
HAK-00003,KAR-00003,SAN-00002,05.08.2026,BEKLIYOR,ONAY,137500,137500,137500,137500,0,137500,2026-08,Hakediş kalemi 3
HAK-00004,KAR-00004,SAN-00002,02.08.2026,ONAY,ODEME,150000,150000,150000,150000,150000,150000,2026-08,Hakediş kalemi 4
HAK-00005,KAR-00005,SAN-00003,30.07.2026,BEKLIYOR,IPTAL,162500,162500,162500,162500,0,162500,2026-08,Hakediş kalemi 5
HAK-00006,KAR-00006,SAN-00003,27.07.2026,DRAFT,BEKLIYOR,175000,175000,175000,175000,0,175000,2026-08,Hakediş kalemi 6
HAK-00007,KAR-00007,SAN-00004,24.07.2026,BEKLIYOR,ONAY,187500,187500,187500,187500,0,187500,2026-08,Hakediş kalemi 7
HAK-00008,KAR-00008,SAN-00004,21.07.2026,ONAY,BEKLIYOR,200000,200000,200000,200000,0,200000,2026-08,Hakediş kalemi 8
HAK-00009,KAR-00001,SAN-00001,18.07.2026,,DRAFT,212500,212500,212500,212500,0,212500,2026-08,Hakediş kalemi 9
HAK-00010,KAR-00002,SAN-00001,15.07.2026,DRAFT,BEKLIYOR,225000,225000,225000,225000,0,225000,2026-08,Hakediş kalemi 10
HAK-00011,KAR-00003,SAN-00002,12.07.2026,BEKLIYOR,ONAY,237500,237500,237500,237500,0,237500,2026-08,Hakediş kalemi 11
HAK-00012,KAR-00004,SAN-00002,09.07.2026,ONAY,ODEME,250000,250000,295000,295000,295000,295000,2026-08,Hakediş kalemi 12
HAK-00013,KAR-00005,SAN-00003,06.07.2026,BEKLIYOR,IPTAL,262500,262500,262500,262500,0,262500,2026-08,Hakediş kalemi 13
HAK-00014,KAR-00006,SAN-00003,03.07.2026,DRAFT,BEKLIYOR,275000,275000,275000,275000,0,275000,2026-08,Hakediş kalemi 14
HAK-00015,KAR-00007,SAN-00004,30.06.2026,BEKLIYOR,ONAY,287500,287500,287500,279500,0,287500,2026-08,Hakediş kalemi 15
HAK-00016,KAR-00008,SAN-00004,27.06.2026,ONAY,BEKLIYOR,300000,300000,300000,300000,0,300000,2026-08,Hakediş kalemi 16
HAK-00017,KAR-00001,SAN-00001,24.06.2026,,DRAFT,312500,312500,312500,312500,0,312500,2026-08,Hakediş kalemi 17
HAK-00018,KAR-00002,SAN-00001,21.06.2026,DRAFT,ONAY,325000,325000,325000,325000,0,325000,2026-08,Hakediş kalemi 18
HAK-00019,KAR-00003,SAN-00002,18.06.2026,BEKLIYOR,ONAY,337500,337500,382500,382500,0,382500,2026-08,Hakediş kalemi 19
HAK-00020,KAR-00004,SAN-00002,15.06.2026,ONAY,BEKLIYOR,350000,350000,350000,350000,0,350000,2026-08,Hakediş kalemi 20
HAK-00021,KAR-00005,SAN-00003,12.06.2026,BEKLIYOR,IPTAL,362500,362500,362500,362500,0,362500,2026-08,Hakediş kalemi 21
HAK-00022,,SAN-00001,09.06.2026,DRAFT,BEKLIYOR,375000,375000,375000,375000,0,375000,2026-08,Hakediş kalemi 22
HAK-00023,KAR-00007,SAN-00004,06.06.2026,BEKLIYOR,ONAY,387500,387500,387500,387500,0,387500,2026-08,Hakediş kalemi 23
HAK-00024,KAR-00008,SAN-00004,03.06.2026,ONAY,BEKLIYOR,400000,400000,400000,400000,0,400000,2026-08,Hakediş kalemi 24
HAK-00025,KAR-99999,SAN-00001,14.08.2026,,DRAFT,412500,412500,412500,412500,0,412500,2026-08,Hakediş kalemi 25
HAK-00026,KAR-00002,SAN-00001,11.08.2026,DRAFT,BEKLIYOR,425000,425000,425000,425000,0,425000,2026-08,Hakediş kalemi 26
HAK-00027,KAR-00003,SAN-00002,08.08.2026,BEKLIYOR,ONAY,437500,437500,437500,437500,0,437500,2026-08,Hakediş kalemi 27
HAK-00028,KAR-00004,SAN-00002,05.08.2026,ONAY,ODEME,450000,450000,450000,450000,450000,450000,2026-08,Hakediş kalemi 28
