IslemId,KaynakKartId,Tarih,OncekiDurum,Durum,SozlesmeTutar,AvansTutar,KiraTutar,MahsupTutar,DekontTutar,Tutar,Donem,Aciklama
KAD-00001,KIR-00001,11.08.2026,,BEKLIYOR,18000,36000,18000,0,0,18000,2026-08,Kira tahsil kalemi 1
KAD-00002,KIR-00002,08.08.2026,BEKLIYOR,TAHSIL,22000,44000,22000,0,22000,22000,2026-08,Kira tahsil kalemi 2
KAD-00003,KIR-00003,05.08.2026,TAHSIL,MAHSUP,16000,32000,16000,16000,0,16000,2026-08,Kira tahsil kalemi 3
KAD-00004,KIR-00004,02.08.2026,MAHSUP,KAPALI,14000,28000,14000,0,14000,14000,2026-08,Kira tahsil kalemi 4
KAD-00005,KIR-00005,30.07.2026,BEKLIYOR,IPTAL,28000,56000,28000,0,0,28000,2026-08,Kira tahsil kalemi 5
KAD-00006,KIR-00006,27.07.2026,BEKLIYOR,TAHSIL,15000,30000,15000,0,15000,15000,2026-08,Kira tahsil kalemi 6
KAD-00007,KIR-00007,24.07.2026,,BEKLIYOR,12000,24000,12000,0,0,12000,2026-08,Kira tahsil kalemi 7
KAD-00008,KIR-00008,21.07.2026,TAHSIL,TAHSIL,11000,22000,11000,0,11000,11000,2026-08,Kira tahsil kalemi 8
KAD-00009,KIR-00001,18.07.2026,,BEKLIYOR,18000,36000,18000,0,0,18000,2026-08,Kira tahsil kalemi 9
KAD-00010,KIR-00002,15.07.2026,BEKLIYOR,TAHSIL,22000,44000,22000,0,22000,22000,2026-08,Kira tahsil kalemi 10
KAD-00011,KIR-00003,12.07.2026,TAHSIL,MAHSUP,16000,32000,16000,16000,0,16000,2026-08,Kira tahsil kalemi 11
KAD-00012,KIR-00004,09.07.2026,MAHSUP,KAPALI,14000,28000,18500,0,18500,18500,2026-08,Kira tahsil kalemi 12
KAD-00013,KIR-00005,06.07.2026,BEKLIYOR,IPTAL,28000,56000,28000,0,0,28000,2026-08,Kira tahsil kalemi 13
KAD-00014,KIR-00006,03.07.2026,BEKLIYOR,TAHSIL,15000,30000,15000,0,15000,15000,2026-08,Kira tahsil kalemi 14
KAD-00015,KIR-00007,30.06.2026,,BEKLIYOR,12000,24000,12000,0,0,12000,2026-08,Kira tahsil kalemi 15
KAD-00016,KIR-00008,27.06.2026,TAHSIL,TAHSIL,11000,22000,11000,0,11000,11000,2026-08,Kira tahsil kalemi 16
KAD-00017,KIR-00001,24.06.2026,,BEKLIYOR,18000,36000,18000,0,0,18000,2026-08,Kira tahsil kalemi 17
KAD-00018,KIR-00002,21.06.2026,BEKLIYOR,KAPALI,22000,44000,22000,0,22000,22000,2026-08,Kira tahsil kalemi 18
KAD-00019,KIR-00003,18.06.2026,TAHSIL,MAHSUP,16000,32000,20500,16000,4500,20500,2026-08,Kira tahsil kalemi 19
KAD-00020,KIR-00004,15.06.2026,KAPALI,TAHSIL,14000,28000,14000,0,14000,14000,2026-08,Kira tahsil kalemi 20
KAD-00021,KIR-00005,12.06.2026,BEKLIYOR,IPTAL,28000,56000,28000,0,0,28000,2026-08,Kira tahsil kalemi 21
KAD-00022,,09.06.2026,BEKLIYOR,TAHSIL,15000,30000,15000,0,15000,15000,2026-08,Kira tahsil kalemi 22
KAD-00023,KIR-00007,06.06.2026,,BEKLIYOR,12000,24000,12000,0,0,12000,2026-08,Kira tahsil kalemi 23
KAD-00024,KIR-00008,03.06.2026,TAHSIL,TAHSIL,11000,22000,11000,0,11000,11000,2026-08,Kira tahsil kalemi 24
KAD-00025,KIR-99999,14.08.2026,,BEKLIYOR,18000,36000,18000,0,0,18000,2026-08,Kira tahsil kalemi 25
KAD-00026,KIR-00002,11.08.2026,BEKLIYOR,TAHSIL,22000,44000,22000,0,22000,22000,2026-08,Kira tahsil kalemi 26
KAD-00027,KIR-00003,08.08.2026,TAHSIL,MAHSUP,16000,32000,16000,16000,0,16000,2026-08,Kira tahsil kalemi 27
KAD-00028,KIR-00004,05.08.2026,MAHSUP,KAPALI,14000,28000,14000,0,14000,14000,2026-08,Kira tahsil kalemi 28
