SatirId,VarlikId,Tarih,TahsilatTl_tl,BosGun_gun,GiderTl_tl,TufeOran_oran,OlayTuru
KPG-00001,KIR-00001,08.08.2026,24640.0,0,1270,0.39,BOSLUK
KPG-00002,KIR-00002,05.08.2026,20020.0,0,1740,0.4,ARTIS_TUFE
KPG-00003,KIR-00003,02.08.2026,15792.0,2,2210,0.38,GIDER
KPG-00004,KIR-00004,30.07.2026,13580.0,0,2200,0.39,TAHSILAT_GECIKME
KPG-00005,KIR-00005,27.07.2026,18417.0,5,2670,0.4,DIGER
KPG-00006,KIR-00006,24.07.2026,9856.0,2,1040,0.38,TAHSILAT
KPG-00007,KIR-00007,21.07.2026,10010.0,0,1510,0.39,BOSLUK
KPG-00008,KIR-00008,18.07.2026,8930.0,0,1500,0.4,ARTIS_TUFE
KPG-00009,KIR-00001,15.07.2026,25349.0,2,1970,0.44,GIDER
KPG-00010,KIR-00002,12.07.2026,16830.0,3,2440,0.39,TAHSILAT_GECIKME
KPG-00011,KIR-00003,09.07.2026,15840.0,0,2910,0.4,DIGER
KPG-00012,KIR-00004,06.07.2026,11891.0,2,800,0.38,TAHSILAT
KPG-00013,KIR-00005,03.07.2026,24440.0,0,1270,0.39,BOSLUK
KPG-00014,KIR-00006,30.06.2026,11640.0,0,1740,0.4,ARTIS_TUFE
KPG-00015,KIR-00007,27.06.2026,9038.0,1,2210,0.38,GIDER
KPG-00016,KIR-00008,24.06.2026,8360.0,0,2200,0.39,TAHSILAT_GECIKME
KPG-00017,KIR-00001,21.06.2026,25480.0,0,2670,0.4,DIGER
KPG-00018,KIR-00002,18.06.2026,19301.0,2,1040,0.46,TAHSILAT
KPG-00019,KIR-00003,15.06.2026,17460.0,0,1510,0.39,BOSLUK
KPG-00020,KIR-00004,12.06.2026,9520.0,6,1500,0.4,ARTIS_TUFE
KPG-00021,KIR-00005,09.06.2026,21355.0,2,1970,0.38,GIDER
KPG-00022,KIR-00006,06.06.2026,10920.0,0,2440,0.39,TAHSILAT_GECIKME
KPG-00023,KIR-00007,03.06.2026,10340.0,0,2910,0.4,DIGER
KPG-00024,KIR-00008,31.05.2026,8601.0,2,800,0.38,TAHSILAT
KPG-00025,KIR-00001,28.05.2026,20627.0,4,1270,0.39,BOSLUK
KPG-00026,KIR-00002,25.05.2026,19360.0,0,1740,0.4,ARTIS_TUFE
KPG-00027,KIR-00003,22.05.2026,15288.0,2,2210,0.48,GIDER
KPG-00028,KIR-00004,19.05.2026,13160.0,0,2200,0.39,TAHSILAT_GECIKME
KPG-00029,KIR-00005,16.05.2026,25220.0,0,2670,0.4,DIGER
KPG-00030,,13.05.2026,9520.0,2,1040,0.38,TAHSILAT
KPG-00031,KIR-00007,10.05.2026,9680.0,0,1510,0.39,BOSLUK
KPG-00032,KIR-00008,07.05.2026,8645.0,0,1500,0.4,ARTIS_TUFE
KPG-00033,KIR-99999,04.05.2026,24565.0,2,1970,0.38,GIDER
KPG-00034,KIR-00002,01.05.2026,21340.0,0,2440,0.39,TAHSILAT_GECIKME
KPG-00035,KIR-00003,28.04.2026,15300.0,0,2910,0.4,DIGER
KPG-00036,KIR-00004,25.04.2026,11499.0,2,800,0.42,TAHSILAT
