IslemId,KaynakKartId,Tarih,OncekiDurum,Durum,BilancoTutar,NakitTutar,ProjeksiyonTutar,BasvuruTutar,KararTutar,Tutar,Donem,Aciklama
KNA-00001,ALN-00001,11.08.2026,,TASLAK,192500,192500,192500,192500,192500,192500,2026-08,Ön proje kalemi 1
KNA-00002,ALN-00002,08.08.2026,TASLAK,HAZIRLIK,205000,205000,205000,205000,205000,205000,2026-08,Ön proje kalemi 2
KNA-00003,ALN-00003,05.08.2026,HAZIRLIK,BASVURU,217500,217500,217500,217500,217500,217500,2026-08,Ön proje kalemi 3
KNA-00004,ALN-00004,02.08.2026,BASVURU,KABUL,230000,230000,230000,230000,230000,230000,2026-08,Ön proje kalemi 4
KNA-00005,ALN-00005,30.07.2026,BASVURU,RET,242500,242500,242500,242500,242500,242500,2026-08,Ön proje kalemi 5
KNA-00006,ALN-00006,27.07.2026,HAZIRLIK,IPTAL,255000,255000,255000,255000,255000,255000,2026-08,Ön proje kalemi 6
KNA-00007,ALN-00007,24.07.2026,TASLAK,HAZIRLIK,267500,267500,267500,267500,267500,267500,2026-08,Ön proje kalemi 7
KNA-00008,ALN-00008,21.07.2026,HAZIRLIK,BASVURU,280000,280000,280000,280000,280000,280000,2026-08,Ön proje kalemi 8
KNA-00009,ALN-00001,18.07.2026,,TASLAK,292500,292500,292500,292500,292500,292500,2026-08,Ön proje kalemi 9
KNA-00010,ALN-00002,15.07.2026,TASLAK,HAZIRLIK,305000,305000,305000,305000,305000,305000,2026-08,Ön proje kalemi 10
KNA-00011,ALN-00003,12.07.2026,HAZIRLIK,BASVURU,317500,317500,317500,317500,317500,317500,2026-08,Ön proje kalemi 11
KNA-00012,ALN-00004,09.07.2026,BASVURU,KABUL,330000,375000,375000,375000,375000,375000,2026-08,Ön proje kalemi 12
KNA-00013,ALN-00005,06.07.2026,BASVURU,RET,342500,342500,342500,342500,342500,342500,2026-08,Ön proje kalemi 13
KNA-00014,ALN-00006,03.07.2026,HAZIRLIK,IPTAL,355000,355000,355000,355000,355000,355000,2026-08,Ön proje kalemi 14
KNA-00015,ALN-00007,30.06.2026,TASLAK,HAZIRLIK,367500,367500,367500,367500,367500,367500,2026-08,Ön proje kalemi 15
KNA-00016,ALN-00008,27.06.2026,HAZIRLIK,BASVURU,380000,380000,380000,380000,380000,380000,2026-08,Ön proje kalemi 16
KNA-00017,ALN-00001,24.06.2026,,TASLAK,392500,392500,392500,392500,392500,392500,2026-08,Ön proje kalemi 17
KNA-00018,ALN-00002,21.06.2026,TASLAK,KABUL,405000,405000,405000,405000,405000,405000,2026-08,Ön proje kalemi 18
KNA-00019,ALN-00003,18.06.2026,HAZIRLIK,BASVURU,417500,462500,462500,462500,462500,462500,2026-08,Ön proje kalemi 19
KNA-00020,ALN-00004,15.06.2026,KABUL,HAZIRLIK,430000,430000,430000,430000,430000,430000,2026-08,Ön proje kalemi 20
KNA-00021,ALN-00005,12.06.2026,BASVURU,RET,442500,442500,442500,442500,442500,442500,2026-08,Ön proje kalemi 21
KNA-00022,,09.06.2026,HAZIRLIK,IPTAL,455000,455000,455000,455000,455000,455000,2026-08,Ön proje kalemi 22
KNA-00023,ALN-00007,06.06.2026,TASLAK,HAZIRLIK,467500,467500,467500,467500,467500,467500,2026-08,Ön proje kalemi 23
KNA-00024,ALN-00008,03.06.2026,HAZIRLIK,BASVURU,480000,480000,480000,480000,480000,480000,2026-08,Ön proje kalemi 24
KNA-00025,ALN-99999,14.08.2026,,TASLAK,492500,492500,492500,492500,492500,492500,2026-08,Ön proje kalemi 25
KNA-00026,ALN-00002,11.08.2026,TASLAK,HAZIRLIK,505000,505000,505000,505000,505000,505000,2026-08,Ön proje kalemi 26
KNA-00027,ALN-00003,08.08.2026,HAZIRLIK,BASVURU,517500,517500,517500,517500,517500,517500,2026-08,Ön proje kalemi 27
KNA-00028,ALN-00004,05.08.2026,BASVURU,KABUL,530000,530000,530000,530000,530000,530000,2026-08,Ön proje kalemi 28
