BakimId,KaynakMakineId,PlanTarih,GerceklesenTarih,PlanDurusSaat,FiiliDurusSaat,KalibrasyonGunKalan,BakimTuru,OncekiDurum,Durum,ImzaKanit,YorumA,YorumB,SaatlikMaliyet
BKM-00001,MAK-00001,2026-08-09,,2.5,2.5,27,DUZELTICI,,PLAN,,A,Bakım notu 1,900
BKM-00002,MAK-00002,2026-08-07,,3.0,3.0,24,KALIBRASYON,PLAN,GECIKME,,B,Bakım notu 2,950
BKM-00003,MAK-00003,2026-08-05,2026-08-05,3.5,3.5,21,ACIL,GECIKME,YAPILDI,İMZA-003,A,Bakım notu 3,1000
BKM-00004,MAK-00004,2026-08-03,,2.0,2.0,18,ONLEYICI,GECIKME,KRITIK,,B,Bakım notu 4,1050
BKM-00005,MAK-00005,2026-08-01,,2.5,2.5,15,DUZELTICI,PLAN,GECIKME,,A,Bakım notu 5,850
BKM-00006,MAK-00006,2026-07-30,,3.0,3.0,12,KALIBRASYON,PLAN,PLAN,,B,Bakım notu 6,900
BKM-00007,MAK-00007,2026-07-28,2026-07-28,3.5,3.5,9,ACIL,KRITIK,YAPILDI,İMZA-007,A,Bakım notu 7,950
BKM-00008,MAK-00008,2026-07-26,,2.0,2.0,6,ONLEYICI,PLAN,PLAN,,B,Bakım notu 8,1000
BKM-00009,MAK-00001,2026-07-24,,2.5,2.5,3,DUZELTICI,,PLAN,,A,Bakım notu 9,1050
BKM-00010,MAK-00002,2026-07-22,,3.0,3.0,0,KALIBRASYON,PLAN,GECIKME,,B,Bakım notu 10,850
BKM-00011,MAK-00003,2026-07-20,2026-07-20,3.5,3.5,-3,ACIL,GECIKME,YAPILDI,İMZA-011,A,Bakım notu 11,900
BKM-00012,MAK-00004,2026-07-18,,2.0,3.5,-6,ONLEYICI,GECIKME,KRITIK,,B,Bakım notu 12,950
BKM-00013,MAK-00005,2026-07-16,,2.5,2.5,-9,DUZELTICI,PLAN,GECIKME,,A,Bakım notu 13,1000
BKM-00014,MAK-00006,2026-07-14,,3.0,3.0,-12,KALIBRASYON,PLAN,PLAN,,B,Bakım notu 14,1050
BKM-00015,MAK-00007,2026-07-12,2026-07-12,2.0,6.0,-15,ACIL,KRITIK,YAPILDI,İMZA-015,A,Bakım notu 15,850
BKM-00016,MAK-00008,2026-07-10,,2.0,2.0,-18,ONLEYICI,PLAN,PLAN,,B,Bakım notu 16,900
BKM-00017,MAK-00001,2026-07-08,,2.5,2.5,29,DUZELTICI,,PLAN,,A,Bakım notu 17,950
BKM-00018,MAK-00002,2026-07-06,,3.0,3.0,26,KALIBRASYON,PLAN,KRITIK,,B,Bakım notu 18,1000
BKM-00019,MAK-00003,2026-07-04,2026-07-04,3.5,5.0,23,ACIL,GECIKME,YAPILDI,İMZA-019,A,Bakım notu 19,1050
BKM-00020,MAK-00004,2026-07-02,,2.0,2.0,20,ONLEYICI,YAPILDI,PLAN,,B,Bakım notu 20,850
BKM-00021,MAK-00005,2026-06-30,,2.5,2.5,17,DUZELTICI,PLAN,GECIKME,,A,Bakım notu 21,900
BKM-00022,,2026-06-28,,3.0,3.0,14,KALIBRASYON,PLAN,PLAN,,B,Bakım notu 22,950
BKM-00023,MAK-00007,2026-08-10,2026-08-10,3.5,3.5,11,ACIL,KRITIK,YAPILDI,İMZA-023,A,Bakım notu 23,1000
BKM-00024,MAK-00008,2026-08-08,,2.0,2.0,8,ONLEYICI,PLAN,PLAN,,B,Bakım notu 24,1050
BKM-00025,MAK-99999,2026-08-06,,2.5,2.5,5,DUZELTICI,,PLAN,,A,Bakım notu 25,850
BKM-00026,MAK-00002,2026-08-04,,3.0,3.0,2,KALIBRASYON,PLAN,GECIKME,,B,Bakım notu 26,900
BKM-00027,MAK-00003,2026-08-02,2026-08-02,3.5,3.5,-1,ACIL,GECIKME,YAPILDI,İMZA-027,A,Bakım notu 27,950
BKM-00028,MAK-00004,2026-07-31,,2.0,2.0,-4,ONLEYICI,GECIKME,KRITIK,,B,Bakım notu 28,1000
