Sefer Numarası,Tarih,Plaka,Güzergah,Mesafe (km),Yük (ton),Hasılat (TL),Yakıt Maliyeti (TL),Bakım Maliyeti (TL),Sürücü Maliyeti (TL),Amortisman (TL),Toplam Maliyet (TL),Birim Maliyet (TL/km),Ton-Km Maliyeti (TL),Net Kâr (TL),Kâr Marjı,Açıklama
SF-1001,03.06.2026,34 ABC 123,İstanbul,320,1.5,8500,=IF($N2="","",$N2*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L2,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N2="","",$N2*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L2,tblOrnekArac[Plaka],0)),0)),=IF($N2="","",IFERROR($N2/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L2,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L2,tblOrnekArac[Plaka],0)),0),0)),=IF($N2="","",$N2*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L2,tblOrnekArac[Plaka],0)),0)),=IF($N2="","",SUM($Q2:$T2)),=IF($N2="",0,IFERROR($U2/$N2,0)),=IF(OR($N2="",$O2=""),0,IFERROR($U2/($N2*$O2),0)),=IF($P2="","",IFERROR($P2-$U2,0)),=IF($P2="",0,IFERROR($X2/$P2,0)),=IF($J2="","",CONCATENATE("Sefer: ",$J2," | Güzergah: ",$M2," | Net Kâr: ",TEXT($X2,"₺ #,##0")))
SF-1002,05.06.2026,06 DEF 456,Ankara,470,8,18500,=IF($N3="","",$N3*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L3,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N3="","",$N3*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L3,tblOrnekArac[Plaka],0)),0)),=IF($N3="","",IFERROR($N3/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L3,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L3,tblOrnekArac[Plaka],0)),0),0)),=IF($N3="","",$N3*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L3,tblOrnekArac[Plaka],0)),0)),=IF($N3="","",SUM($Q3:$T3)),=IF($N3="",0,IFERROR($U3/$N3,0)),=IF(OR($N3="",$O3=""),0,IFERROR($U3/($N3*$O3),0)),=IF($P3="","",IFERROR($P3-$U3,0)),=IF($P3="",0,IFERROR($X3/$P3,0)),=IF($J3="","",CONCATENATE("Sefer: ",$J3," | Güzergah: ",$M3," | Net Kâr: ",TEXT($X3,"₺ #,##0")))
SF-1003,08.06.2026,35 GHI 789,İzmir,590,16,32000,=IF($N4="","",$N4*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L4,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N4="","",$N4*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L4,tblOrnekArac[Plaka],0)),0)),=IF($N4="","",IFERROR($N4/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L4,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L4,tblOrnekArac[Plaka],0)),0),0)),=IF($N4="","",$N4*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L4,tblOrnekArac[Plaka],0)),0)),=IF($N4="","",SUM($Q4:$T4)),=IF($N4="",0,IFERROR($U4/$N4,0)),=IF(OR($N4="",$O4=""),0,IFERROR($U4/($N4*$O4),0)),=IF($P4="","",IFERROR($P4-$U4,0)),=IF($P4="",0,IFERROR($X4/$P4,0)),=IF($J4="","",CONCATENATE("Sefer: ",$J4," | Güzergah: ",$M4," | Net Kâr: ",TEXT($X4,"₺ #,##0")))
SF-1004,12.06.2026,16 JKL 012,Bursa,180,1.2,5200,=IF($N5="","",$N5*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L5,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N5="","",$N5*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L5,tblOrnekArac[Plaka],0)),0)),=IF($N5="","",IFERROR($N5/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L5,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L5,tblOrnekArac[Plaka],0)),0),0)),=IF($N5="","",$N5*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L5,tblOrnekArac[Plaka],0)),0)),=IF($N5="","",SUM($Q5:$T5)),=IF($N5="",0,IFERROR($U5/$N5,0)),=IF(OR($N5="",$O5=""),0,IFERROR($U5/($N5*$O5),0)),=IF($P5="","",IFERROR($P5-$U5,0)),=IF($P5="",0,IFERROR($X5/$P5,0)),=IF($J5="","",CONCATENATE("Sefer: ",$J5," | Güzergah: ",$M5," | Net Kâr: ",TEXT($X5,"₺ #,##0")))
SF-1005,15.06.2026,41 MNO 345,Antalya,780,12,27500,=IF($N6="","",$N6*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L6,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N6="","",$N6*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L6,tblOrnekArac[Plaka],0)),0)),=IF($N6="","",IFERROR($N6/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L6,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L6,tblOrnekArac[Plaka],0)),0),0)),=IF($N6="","",$N6*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L6,tblOrnekArac[Plaka],0)),0)),=IF($N6="","",SUM($Q6:$T6)),=IF($N6="",0,IFERROR($U6/$N6,0)),=IF(OR($N6="",$O6=""),0,IFERROR($U6/($N6*$O6),0)),=IF($P6="","",IFERROR($P6-$U6,0)),=IF($P6="",0,IFERROR($X6/$P6,0)),=IF($J6="","",CONCATENATE("Sefer: ",$J6," | Güzergah: ",$M6," | Net Kâr: ",TEXT($X6,"₺ #,##0")))
SF-1006,20.06.2026,07 PQR 678,Adana,890,9,29500,=IF($N7="","",$N7*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L7,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N7="","",$N7*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L7,tblOrnekArac[Plaka],0)),0)),=IF($N7="","",IFERROR($N7/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L7,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L7,tblOrnekArac[Plaka],0)),0),0)),=IF($N7="","",$N7*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L7,tblOrnekArac[Plaka],0)),0)),=IF($N7="","",SUM($Q7:$T7)),=IF($N7="",0,IFERROR($U7/$N7,0)),=IF(OR($N7="",$O7=""),0,IFERROR($U7/($N7*$O7),0)),=IF($P7="","",IFERROR($P7-$U7,0)),=IF($P7="",0,IFERROR($X7/$P7,0)),=IF($J7="","",CONCATENATE("Sefer: ",$J7," | Güzergah: ",$M7," | Net Kâr: ",TEXT($X7,"₺ #,##0")))
SF-1007,24.06.2026,34 ABC 123,Trabzon,1180,1.4,21000,=IF($N8="","",$N8*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L8,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N8="","",$N8*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L8,tblOrnekArac[Plaka],0)),0)),=IF($N8="","",IFERROR($N8/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L8,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L8,tblOrnekArac[Plaka],0)),0),0)),=IF($N8="","",$N8*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L8,tblOrnekArac[Plaka],0)),0)),=IF($N8="","",SUM($Q8:$T8)),=IF($N8="",0,IFERROR($U8/$N8,0)),=IF(OR($N8="",$O8=""),0,IFERROR($U8/($N8*$O8),0)),=IF($P8="","",IFERROR($P8-$U8,0)),=IF($P8="",0,IFERROR($X8/$P8,0)),=IF($J8="","",CONCATENATE("Sefer: ",$J8," | Güzergah: ",$M8," | Net Kâr: ",TEXT($X8,"₺ #,##0")))
SF-1008,28.06.2026,06 DEF 456,Samsun,730,8.5,20500,=IF($N9="","",$N9*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L9,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N9="","",$N9*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L9,tblOrnekArac[Plaka],0)),0)),=IF($N9="","",IFERROR($N9/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L9,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L9,tblOrnekArac[Plaka],0)),0),0)),=IF($N9="","",$N9*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L9,tblOrnekArac[Plaka],0)),0)),=IF($N9="","",SUM($Q9:$T9)),=IF($N9="",0,IFERROR($U9/$N9,0)),=IF(OR($N9="",$O9=""),0,IFERROR($U9/($N9*$O9),0)),=IF($P9="","",IFERROR($P9-$U9,0)),=IF($P9="",0,IFERROR($X9/$P9,0)),=IF($J9="","",CONCATENATE("Sefer: ",$J9," | Güzergah: ",$M9," | Net Kâr: ",TEXT($X9,"₺ #,##0")))
SF-1009,02.07.2026,35 GHI 789,İstanbul,340,15,24500,=IF($N10="","",$N10*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L10,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N10="","",$N10*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L10,tblOrnekArac[Plaka],0)),0)),=IF($N10="","",IFERROR($N10/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L10,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L10,tblOrnekArac[Plaka],0)),0),0)),=IF($N10="","",$N10*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L10,tblOrnekArac[Plaka],0)),0)),=IF($N10="","",SUM($Q10:$T10)),=IF($N10="",0,IFERROR($U10/$N10,0)),=IF(OR($N10="",$O10=""),0,IFERROR($U10/($N10*$O10),0)),=IF($P10="","",IFERROR($P10-$U10,0)),=IF($P10="",0,IFERROR($X10/$P10,0)),=IF($J10="","",CONCATENATE("Sefer: ",$J10," | Güzergah: ",$M10," | Net Kâr: ",TEXT($X10,"₺ #,##0")))
SF-1010,06.07.2026,41 MNO 345,İzmir,610,11,23500,=IF($N11="","",$N11*(IFERROR(INDEX(tblOrnekArac[Yakıt Tüketimi (lt/100km)],MATCH($L11,tblOrnekArac[Plaka],0)),0)/100)*NakliyeYakitFiyati),=IF($N11="","",$N11*IFERROR(INDEX(tblOrnekArac[Bakım Oranı (TL/km)],MATCH($L11,tblOrnekArac[Plaka],0)),0)),=IF($N11="","",IFERROR($N11/IFERROR(INDEX(tblOrnekArac[Günlük Kapasite (km/gün)],MATCH($L11,tblOrnekArac[Plaka],0)),1)*IFERROR(INDEX(tblOrnekArac[Sürücü Maliyeti (TL/gün)],MATCH($L11,tblOrnekArac[Plaka],0)),0),0)),=IF($N11="","",$N11*IFERROR(INDEX(tblOrnekArac[Amortisman (TL/km)],MATCH($L11,tblOrnekArac[Plaka],0)),0)),=IF($N11="","",SUM($Q11:$T11)),=IF($N11="",0,IFERROR($U11/$N11,0)),=IF(OR($N11="",$O11=""),0,IFERROR($U11/($N11*$O11),0)),=IF($P11="","",IFERROR($P11-$U11,0)),=IF($P11="",0,IFERROR($X11/$P11,0)),=IF($J11="","",CONCATENATE("Sefer: ",$J11," | Güzergah: ",$M11," | Net Kâr: ",TEXT($X11,"₺ #,##0")))
