SatirId,VarlikId,Tarih,PlanSure_dk,DurusSure_dk,UretimAdet_adet,FireAdet_adet,KokNedenKodu
ODK-00001,MAK-00001,08.08.2026,480,48,1814,45,AYAR
ODK-00002,MAK-00002,05.08.2026,480,56,486,15,MALZEME
ODK-00003,MAK-00003,02.08.2026,480,64,1221,43,OPERATOR
ODK-00004,MAK-00004,30.07.2026,480,72,734,15,KALIP
ODK-00005,MAK-00005,27.07.2026,480,80,895,22,BEKLEME
ODK-00006,MAK-00006,24.07.2026,480,88,2470,74,DIGER
ODK-00007,MAK-00007,21.07.2026,480,40,648,23,ARIZA
ODK-00008,MAK-00008,18.07.2026,480,48,1521,30,AYAR
ODK-00009,MAK-00001,15.07.2026,480,56,1908,48,MALZEME
ODK-00010,MAK-00002,12.07.2026,480,64,455,14,OPERATOR
ODK-00011,MAK-00003,09.07.2026,480,72,1142,40,KALIP
ODK-00012,MAK-00004,06.07.2026,480,180,330,26,BEKLEME
ODK-00013,MAK-00005,03.07.2026,480,88,941,24,DIGER
ODK-00014,MAK-00006,30.06.2026,480,40,2970,89,ARIZA
ODK-00015,MAK-00007,27.06.2026,480,48,608,21,AYAR
ODK-00016,MAK-00008,24.06.2026,480,56,1425,28,MALZEME
ODK-00017,MAK-00001,21.06.2026,480,64,1789,45,OPERATOR
ODK-00018,MAK-00002,18.06.2026,480,72,479,14,KALIP
ODK-00019,MAK-00003,15.06.2026,480,80,1200,42,BEKLEME
ODK-00020,MAK-00004,12.06.2026,480,88,643,13,DIGER
ODK-00021,MAK-00005,09.06.2026,480,40,1008,25,ARIZA
ODK-00022,MAK-00006,06.06.2026,480,48,2786,84,AYAR
ODK-00023,MAK-00007,03.06.2026,480,56,640,22,MALZEME
ODK-00024,MAK-00008,31.05.2026,480,180,660,53,OPERATOR
ODK-00025,MAK-00001,28.05.2026,480,72,1673,42,KALIP
ODK-00026,MAK-00002,25.05.2026,480,80,448,13,BEKLEME
ODK-00027,MAK-00003,22.05.2026,480,88,1124,39,DIGER
ODK-00028,MAK-00004,19.05.2026,480,40,774,15,ARIZA
ODK-00029,MAK-00005,16.05.2026,480,48,1060,26,AYAR
ODK-00030,,13.05.2026,480,56,2608,78,MALZEME
ODK-00031,MAK-00007,10.05.2026,480,64,599,21,OPERATOR
ODK-00032,MAK-00008,07.05.2026,480,72,1404,28,KALIP
ODK-00033,MAK-99999,04.05.2026,480,80,1760,44,BEKLEME
ODK-00034,MAK-00002,01.05.2026,480,88,471,14,DIGER
ODK-00035,MAK-00003,28.04.2026,480,40,1203,42,ARIZA
ODK-00036,MAK-00004,25.04.2026,480,48,726,15,AYAR
