ORNEK VERI — 13 HAFTALIK NAKIT AKISI VE ODEME PLANLAMA SISTEMI
Bu dosya otomasyon ve içe aktarma için yapıdır; giriş ve çıkış satırlarını CSV/Excel'den kopyalayabilirsiniz.
GIRISLER (tblGiris)
Hafta Numarasi,Beklenen Tarih,Guvence,Kaynak,Tutar (TL)
1,2026-08-10,KESİN,MÜŞTERİ TAHSİLATI,85000
1,2026-08-10,BEKLENEN,SATIŞ,95000
2,2026-08-17,KESİN,MÜŞTERİ TAHSİLATI,95000
2,2026-08-17,BEKLENEN,SATIŞ,105000
3,2026-08-24,KESİN,MÜŞTERİ TAHSİLATI,80000
3,2026-08-24,BEKLENEN,SATIŞ,120000
4,2026-08-31,KESİN,MÜŞTERİ TAHSİLATI,90000
4,2026-08-31,BEKLENEN,SATIŞ,100000
5,2026-09-07,KESİN,MÜŞTERİ TAHSİLATI,85000
5,2026-09-07,BEKLENEN,SATIŞ,110000
6,2026-09-14,KESİN,MÜŞTERİ TAHSİLATI,75000
6,2026-09-14,BEKLENEN,SATIŞ,95000
7,2026-09-21,KESİN,MÜŞTERİ TAHSİLATI,100000
7,2026-09-21,BEKLENEN,SATIŞ,115000
8,2026-09-28,KESİN,MÜŞTERİ TAHSİLATI,90000
8,2026-09-28,BEKLENEN,SATIŞ,100000
9,2026-10-05,KESİN,MÜŞTERİ TAHSİLATI,60000
9,2026-10-05,BEKLENEN,SATIŞ,95000
10,2026-10-12,KESİN,MÜŞTERİ TAHSİLATI,90000
10,2026-10-12,BEKLENEN,SATIŞ,105000
11,2026-10-19,KESİN,MÜŞTERİ TAHSİLATI,80000
11,2026-10-19,BEKLENEN,SATIŞ,100000
12,2026-10-26,KESİN,MÜŞTERİ TAHSİLATI,95000
12,2026-10-26,BEKLENEN,SATIŞ,110000
13,2026-11-02,KESİN,MÜŞTERİ TAHSİLATI,85000
13,2026-11-02,BEKLENEN,SATIŞ,120000
CIKISLAR (tblCikis)
Hafta Numarasi,Vade Tarihi,Kalem,Oncelik,Tutar (TL)
1,2026-08-10,MAAŞ,KRİTİK,130000
1,2026-08-10,KİRA,YÜKSEK,45000
2,2026-08-17,TEDARİKÇİ,YÜKSEK,90000
3,2026-08-24,VERGİ,KRİTİK,180000
3,2026-08-24,SGK,KRİTİK,75000
4,2026-08-31,MAAŞ,KRİTİK,130000
5,2026-09-07,TEDARİKÇİ,YÜKSEK,85000
6,2026-09-14,KREDİ TAKSİTİ,KRİTİK,60000
7,2026-09-21,MAAŞ,KRİTİK,130000
7,2026-09-21,KİRA,YÜKSEK,45000
8,2026-09-28,TEDARİKÇİ,YÜKSEK,95000
9,2026-10-05,VERGİ,KRİTİK,140000
10,2026-10-12,MAAŞ,KRİTİK,130000
11,2026-10-19,TEDARİKÇİ,YÜKSEK,80000
12,2026-10-26,SGK,KRİTİK,75000
12,2026-10-26,KREDİ TAKSİTİ,KRİTİK,60000
13,2026-11-02,MAAŞ,KRİTİK,130000
13,2026-11-02,KİRA,YÜKSEK,45000
