İş Numarası;İş Adı;Toplam Gelir (₺);Direkt Maliyet (₺);Süre (Gün);Kâr (₺);Marj;Günlük Kâr (₺);Durum
IS-001;Web sitesi yenileme projesi;250000;140000;45;110000;0,44;2444;KÂRLI
IS-002;Mobil uygulama geliştirme;180000;120000;60;60000;0,33;1000;KÂRLI
IS-003;Kurumsal eğitim programı;95000;61000;20;34000;0,36;1700;KÂRLI
IS-004;Logo ve kurumsal kimlik;42000;31000;15;11000;0,26;733;KÂRLI
IS-005;Sosyal medya yönetimi (3 ay);75000;45000;90;30000;0,40;333;KÂRLI
IS-006;Vitrin düzenleme işi;28000;26000;10;2000;0,07;200;RİSK
IS-007;E-ticaret danışmanlığı;120000;72000;30;48000;0,40;1600;KÂRLI
IS-008;Bakım ve destek sözleşmesi;90000;50000;365;40000;0,44;110;KÂRLI
IS-009;Video prodüksiyon;66000;48000;25;18000;0,27;720;KÂRLI
IS-010;Veri raporlama paneli;145000;88000;50;57000;0,39;1140;KÂRLI
