SatirId,KalemId,Oran,Fire,Versiyon,Not
RC-01,HM-01,0.55,0.05,V2,Ana protein
RC-02,HM-02,0.12,0.03,V2,Yag
RC-03,HM-03,0.1,0.08,V2,Sogan
RC-04,HM-04,0.08,0.06,V2,Biber
RC-05,HM-05,0.03,0.01,V2,Baharat
RC-06,HM-06,0.05,0.02,V2,Yag
RC-07,HM-07,0.07,0.02,V2,Lavas
RC-08,HM-01,0.5,0.06,V1,Eski daha az et
RC-09,HM-02,0.15,0.04,V1,Eski yag
RC-10,HM-03,0.12,0.08,V1,Eski sogan
RC-11,HM-04,0.08,0.06,V1,Eski biber
RC-12,HM-05,0.04,0.01,V1,Eski baharat
RC-13,HM-06,0.05,0.02,V1,Eski yag
RC-14,HM-07,0.06,0.02,V1,Eski lavas
