BorcId,MalikId,Donem,BorcTutari,VadeTarihi
BRC-001,MLK-001,2026-07,2700.0,2026-07-10
BRC-002,MLK-002,2026-07,2900.0,2026-07-10
BRC-003,MLK-003,2026-07,2700.0,2026-07-10
BRC-004,MLK-004,2026-07,2700.0,2026-07-10
BRC-005,MLK-005,2026-07,2900.0,2026-07-10
BRC-006,MLK-006,2026-07,2500.0,2026-07-10
BRC-007,MLK-007,2026-07,2700.0,2026-07-10
BRC-008,MLK-008,2026-07,2900.0,2026-07-10
BRC-009,MLK-009,2026-07,2500.0,2026-07-10
BRC-010,MLK-010,2026-07,2700.0,2026-07-10
BRC-011,MLK-001,2026-08,2950.0,2026-08-10
BRC-012,MLK-002,2026-08,2500.0,2026-08-10
BRC-013,MLK-003,2026-08,2650.0,2026-08-10
BRC-014,MLK-004,2026-08,2800.0,2026-08-10
BRC-015,MLK-005,2026-08,2950.0,2026-08-10
BRC-016,MLK-006,2026-08,2500.0,2026-08-10
BRC-017,MLK-007,2026-08,2650.0,2026-08-10
BRC-018,MLK-008,2026-08,2800.0,2026-08-10
BRC-025,MLK-011,2026-08,2600.0,2026-08-10
BRC-026,MLK-012,2026-08,2550.0,2026-08-10
