SatirId,VarlikId,Tarih,Xbar_birim,R_birim,AltgrupN_adet,Vardiya
OLC-00001,PRS-00001,08.08.2026,9.984,0.0512,5,GECE
OLC-00002,PRS-00002,05.08.2026,5.996,0.0168,5,HAFTASONU
OLC-00003,PRS-00003,02.08.2026,0.8,0.096,5,FAZLA_MESAI
OLC-00004,PRS-00004,30.07.2026,2.004,0.0168,5,NUMUNE
OLC-00005,PRS-00005,27.07.2026,20.08,0.256,5,DIGER
OLC-00006,PRS-00006,24.07.2026,0.174,0.0688,5,GUNDUZ
OLC-00007,PRS-00007,21.07.2026,178.8,3.44,5,GECE
OLC-00008,PRS-00008,18.07.2026,19.68,1.024,5,HAFTASONU
OLC-00009,PRS-00001,15.07.2026,9.992,0.0336,5,FAZLA_MESAI
OLC-00010,PRS-00002,12.07.2026,6.0,0.008,5,NUMUNE
OLC-00011,PRS-00003,09.07.2026,0.848,0.2016,5,DIGER
OLC-00012,PRS-00004,06.07.2026,2.065,0.055,5,GUNDUZ
OLC-00013,PRS-00005,03.07.2026,20.12,0.344,5,GECE
OLC-00014,PRS-00006,30.06.2026,0.126,0.0688,5,HAFTASONU
OLC-00015,PRS-00007,27.06.2026,179.2,2.56,5,FAZLA_MESAI
OLC-00016,PRS-00008,24.06.2026,19.84,0.672,5,NUMUNE
OLC-00017,PRS-00001,21.06.2026,10.0,0.016,5,DIGER
OLC-00018,PRS-00002,18.06.2026,6.004,0.0168,5,GUNDUZ
OLC-00019,PRS-00003,15.06.2026,0.896,0.3072,5,GECE
OLC-00020,PRS-00004,12.06.2026,2.012,0.0344,5,HAFTASONU
OLC-00021,PRS-00005,09.06.2026,19.88,0.344,5,FAZLA_MESAI
OLC-00022,PRS-00006,06.06.2026,0.134,0.0512,5,NUMUNE
OLC-00023,PRS-00007,03.06.2026,179.6,1.68,5,DIGER
OLC-00024,PRS-00008,31.05.2026,22.6,2.2,5,GUNDUZ
OLC-00025,PRS-00001,28.05.2026,10.008,0.0336,5,GECE
OLC-00026,PRS-00002,25.05.2026,6.008,0.0256,5,HAFTASONU
OLC-00027,PRS-00003,22.05.2026,0.944,0.4128,5,FAZLA_MESAI
OLC-00028,PRS-00004,19.05.2026,1.988,0.0344,5,NUMUNE
OLC-00029,PRS-00005,16.05.2026,19.92,0.256,5,DIGER
OLC-00030,,13.05.2026,0.28,0.11,5,GUNDUZ
OLC-00031,PRS-00007,10.05.2026,180.0,0.8,5,GECE
OLC-00032,PRS-00008,07.05.2026,20.16,0.672,5,HAFTASONU
OLC-00033,PRS-99999,04.05.2026,10.016,0.0512,5,FAZLA_MESAI
OLC-00034,PRS-00002,01.05.2026,6.012,0.0344,5,NUMUNE
OLC-00035,PRS-00003,28.04.2026,0.656,0.4128,5,DIGER
OLC-00036,PRS-00004,25.04.2026,1.992,0.0256,5,GUNDUZ
