SatirId,VarlikId,Tarih,SagimLt_lt,YemKg_kg,KizginlikDurum,GebelikGun_gun,OlayTuru
SSY-00001,INK-00001,08.08.2026,24.6,16.5,HAYIR,51,KIZGINLIK
SSY-00002,INK-00002,05.08.2026,21.8,16.9,HAYIR,62,TOHUM
SSY-00003,INK-00003,02.08.2026,28.2,18.6,HAYIR,73,GEBELIK
SSY-00004,INK-00004,30.07.2026,17.5,17.8,HAYIR,84,BUZAGILAMA
SSY-00005,INK-00005,27.07.2026,22.1,19.3,HAYIR,95,DIGER
SSY-00006,INK-00006,24.07.2026,22.0,15.3,HAYIR,106,SAGIM
SSY-00007,INK-00007,21.07.2026,29.1,17.2,EVET,117,KIZGINLIK
SSY-00008,INK-00008,18.07.2026,18.8,16.4,HAYIR,128,TOHUM
SSY-00009,INK-00001,15.07.2026,27.2,18.5,HAYIR,0,GEBELIK
SSY-00010,INK-00002,12.07.2026,20.4,18.3,HAYIR,150,BUZAGILAMA
SSY-00011,INK-00003,09.07.2026,26.4,20.0,HAYIR,161,DIGER
SSY-00012,INK-00004,06.07.2026,9.9,13.5,HAYIR,172,SAGIM
SSY-00013,INK-00005,03.07.2026,24.4,16.5,HAYIR,183,KIZGINLIK
SSY-00014,INK-00006,30.06.2026,24.2,17.2,EVET,194,TOHUM
SSY-00015,INK-00007,27.06.2026,27.2,18.5,HAYIR,275,GEBELIK
SSY-00016,INK-00008,24.06.2026,17.6,17.8,HAYIR,216,BUZAGILAMA
SSY-00017,INK-00001,21.06.2026,25.5,19.8,HAYIR,227,DIGER
SSY-00018,INK-00002,18.06.2026,22.6,15.4,HAYIR,0,SAGIM
SSY-00019,INK-00003,15.06.2026,29.1,17.2,HAYIR,249,KIZGINLIK
SSY-00020,INK-00004,12.06.2026,15.3,15.9,HAYIR,260,TOHUM
SSY-00021,INK-00005,09.06.2026,22.9,17.8,EVET,271,GEBELIK
SSY-00022,INK-00006,06.06.2026,22.7,18.6,HAYIR,42,BUZAGILAMA
SSY-00023,INK-00007,03.06.2026,30.1,20.5,HAYIR,53,DIGER
SSY-00024,INK-00008,31.05.2026,11.0,13.7,HAYIR,64,SAGIM
SSY-00025,INK-00001,28.05.2026,23.8,16.4,HAYIR,75,KIZGINLIK
SSY-00026,INK-00002,25.05.2026,21.1,16.8,HAYIR,86,TOHUM
SSY-00027,INK-00003,22.05.2026,27.3,18.5,HAYIR,0,GEBELIK
SSY-00028,INK-00004,19.05.2026,16.9,17.7,EVET,275,BUZAGILAMA
SSY-00029,INK-00005,16.05.2026,25.2,19.8,HAYIR,119,DIGER
SSY-00030,,13.05.2026,21.2,15.2,HAYIR,130,SAGIM
SSY-00031,INK-00007,10.05.2026,28.2,17.0,HAYIR,141,KIZGINLIK
SSY-00032,INK-00008,07.05.2026,18.2,16.3,HAYIR,152,TOHUM
SSY-00033,INK-99999,04.05.2026,26.3,18.3,HAYIR,163,GEBELIK
SSY-00034,INK-00002,01.05.2026,23.3,18.7,HAYIR,174,BUZAGILAMA
SSY-00035,INK-00003,28.04.2026,25.5,19.8,EVET,185,DIGER
SSY-00036,INK-00004,25.04.2026,15.8,14.4,HAYIR,0,SAGIM
