ORNEK VERI — TAŞERON/ALT YÜKLENİCİ HAKEDİŞ & KESİNTİ MUTABAKATI
Bu dosya otomasyon ve içe aktarma için yapıdır; sözleşme kartı, hakediş ve ödeme verilerinizi CSV/Excel'den kopyalayabilirsiniz.
SOZLESME_KARTI (manuel giriş)
Yüklenici Firma,Taşeron/Alt Yüklenici,Sözleşme Adı,Sözleşme Tarihi,Sözleşme Bedeli (₺),İş Başlangıç Tarihi,İş Bitiş Tarihi,İş Türü,KDV Tevkifatı Uygulanıyor mu?
Yapı A A.Ş.,Alt Yapı Ltd. Şti.,Betonarme Taşeronluğu,01.03.2026,4800000,01.03.2026,30.11.2026,Yapım,Evet
HAKEDISLER (tblHakedis)
Dönem,Hakediş Tarihi,Brüt Hakediş (₺)
1. Hakediş,20.03.2026,900000
2. Hakediş,20.04.2026,1100000
3. Hakediş,20.05.2026,1300000
4. Hakediş,20.06.2026,1200000
5. Hakediş,20.07.2026,1500000
6. Hakediş,20.08.2026,1400000
7. Hakediş,20.09.2026,1100000
8. Hakediş,20.10.2026,900000
9. Hakediş,20.11.2026,1000000
ODEMELER (tblOdeme)
Dönem,Ödeme Tarihi,Ödenen Tutar (₺)
1. Hakediş,10.05.2026,700000
2. Hakediş,25.05.2026,900000
3. Hakediş,05.07.2026,1050000
4. Hakediş,25.07.2026,950000
5. Hakediş,05.09.2026,1250000
6. Hakediş,25.09.2026,1150000
7. Hakediş,05.11.2026,850000
8. Hakediş,25.11.2026,700000
9. Hakediş,10.01.2027,800000
