taraf,barkod,stok_kodu,urun_adi,kategori,satis_fiyati,maliyet,miktar,hedef_marj,ty_plus,flas,urun_reklam,desi_kargo,gercek_hakedis,donem,not
A,86800010001,STK1001,Ürün 1,Elektronik,167,71.81,2,0.12,,,,,,,girdi
B,86800010001,,,,,,,,8.02,0.0,5.0,33.9,215.27,2026-07,hakedis
A,86800010002,STK1002,Ürün 2,Giyim,184,84.64,3,0.12,,,,,,,girdi
B,86800010002,,,,,,,,13.25,0.0,5.0,38.4,376.67,2026-08,hakedis
A,86800010,STK1003,Ürün 3,Kozmetik,201,98.49,4,0.12,,,,,,,girdi
B,86800010003,,,,,,,,19.3,0.0,24.5,42.9,556.5,2026-06,hakedis
A,86800010004,STK1004,Ürün 4,Ev Yaşam,218,113.36,1,0.12,,,,,,,girdi
B,86800010004,,,,,,,,5.23,0.0,5.0,47.4,121.13,2026-07,hakedis
A,86800010005,STK1005,Ürün 5,Süpermarket,235,94.0,2,0.12,,,,,,,girdi
B,86800010005,,,,,,,,11.28,14.1,5.0,51.9,331.32,2026-08,hakedis
A,86800010006,STK1006,Ürün 6,Kitap,252,108.36,3,0.12,,,,,,,girdi
B,86800010006,,,,,,,,18.14,0.0,29.0,29.4,566.06,2026-06,hakedis
A,86800010,STK1007,Ürün 7,Spor,269,123.74,4,0.12,,,,,,,girdi
B,86800010007,,,,,,,,25.82,0.0,5.0,33.9,817.6,2026-07,hakedis
A,86800010008,STK1008,Ürün 8,Oyuncak,286,140.14,1,0.12,,,,,,,girdi
B,86800010008,,,,,,,,6.86,0.0,5.0,38.4,149.26,2026-08,hakedis
A,86800010009,STK1009,Ürün 9,Ayakkabı,303,157.56,2,0.12,,,,,,,girdi
B,86800010009,,,,,,,,14.54,0.0,33.5,42.9,384.77,2026-06,hakedis
A,86800010010,STK1010,Ürün 10,Aksesuar,320,128.0,3,0.12,,,,,,,girdi
B,86800010010,,,,,,,,23.04,28.8,5.0,47.4,644.56,2026-07,hakedis
A,86800010,STK1011,Ürün 11,Elektronik,337,144.91,4,0.12,,,,,,,girdi
B,86800010011,,,,,,,,32.35,0.0,5.0,51.9,968.96,2026-08,hakedis
A,86800010012,STK1012,Ürün 12,Giyim,354,162.84,1,0.12,,,,,,,girdi
B,86800010012,,,,,,,,8.5,0.0,38.0,29.4,201.99,2026-06,hakedis
A,86800010013,STK1013,Ürün 13,Kozmetik,371,181.79,2,0.12,,,,,,,girdi
B,86800010013,,,,,,,,17.81,0.0,5.0,33.9,536.89,2026-07,hakedis
A,86800010014,STK1014,Ürün 14,Ev Yaşam,388,201.76,3,0.12,,,,,,,girdi
B,86800010014,,,,,,,,27.94,0.0,5.0,38.4,883.14,2026-08,hakedis
A,86800010015X,STK1015,Ürün 15,Süpermarket,405,162.0,4,0.12,,,,,,,girdi
B,86800010015,,,,,,,,38.88,48.6,42.5,42.9,1252.72,2026-06,hakedis
A,86800010016,STK1016,Ürün 16,Kitap,422,181.46,1,0.12,,,,,,,girdi
B,86800010016,,,,,,,,10.13,0.0,5.0,47.4,261.17,2026-07,hakedis
A,86800010017,STK1017,Ürün 17,Spor,439,201.94,2,0.12,,,,,,,girdi
B,86800010017,,,,,,,,21.07,0.0,5.0,51.9,641.99,2026-08,hakedis
A,86800010018,STK1018,Ürün 18,Oyuncak,456,223.44,3,0.12,,,,,,,girdi
B,86800010018,,,,,,,,32.83,0.0,47.0,29.4,1012.53,2026-06,hakedis
A,86800010019,STK1019,Ürün 19,Ayakkabı,473,245.96,4,0.12,,,,,,,girdi
B,86800010019,,,,,,,,45.41,0.0,5.0,33.9,1400.91,2026-07,hakedis
A,86800010020,STK1020,Ürün 20,Aksesuar,490,196.0,1,0.12,,,,,,,girdi
B,86800010020,,,,,,,,11.76,14.7,5.0,38.4,312.34,2026-08,hakedis
A,86800010021,STK1021,Ürün 21,Elektronik,507,218.01,2,0.12,,,,,,,girdi
B,86800010021,,,,,,,,24.34,0.0,51.5,42.9,677.25,2026-06,hakedis
A,86800010022,STK1022,Ürün 22,Giyim,524,241.04,3,0.12,,,,,,,girdi
B,86800010022,,,,,,,,37.73,0.0,5.0,47.4,1143.92,2026-07,hakedis
A,86800010023,STK1023,Ürün 23,Kozmetik,541,265.09,4,0.12,,,,,,,girdi
B,86800010023,,,,,,,,51.94,0.0,5.0,51.9,1622.36,2026-08,hakedis
A,86800010024,STK1024,Ürün 24,Ev Yaşam,558,290.16,1,0.12,,,,,,,girdi
B,86800010024,,,,,,,,13.39,0.0,56.0,29.4,323.77,2026-06,hakedis
A,86800010025,STK1025,Ürün 25,Süpermarket,575,230.0,2,0.12,,,,,,,girdi
B,86800010025,,,,,,,,27.6,34.5,5.0,33.9,911.0,2026-07,hakedis
A,86800010026,STK1026,Ürün 26,Kitap,592,254.56,3,0.12,,,,,,,girdi
B,86800010026,,,,,,,,42.62,0.0,5.0,38.4,1423.58,2026-08,hakedis
