Ürün Kodu,Ürün Adı,Hammadde,Birim,Miktar,Birim Fiyat (TL),Fire Oranı,Zam Oranı,Hammadde Tutarı (TL),Fire Dahil Tutar (TL),Zam Sonrası Birim Fiyat (TL),Zam Sonrası Tutar (TL),Fark (TL),Açıklama
UR-01,Sade Poğaça,Un,kg,0.05,20,0.05,0.15,=IF($E6="",0,$E6*$F6),=IF($E6="",0,$E6*(1+$G6)*$F6),=IF($E6="",0,$F6*(1+$H6)),=IF($E6="",0,$E6*(1+$G6)*$K6),=IF($E6="",0,$L6-$J6),=IF($B6="","",CONCATENATE("Ürün: ",$B6," | Hammadde: ",$C6," | Fark: ",TEXT($M6,"₺ #,##0")))
UR-01,Sade Poğaça,Margarin,kg,0.02,90,0.03,0.08,=IF($E7="",0,$E7*$F7),=IF($E7="",0,$E7*(1+$G7)*$F7),=IF($E7="",0,$F7*(1+$H7)),=IF($E7="",0,$E7*(1+$G7)*$K7),=IF($E7="",0,$L7-$J7),=IF($B7="","",CONCATENATE("Ürün: ",$B7," | Hammadde: ",$C7," | Fark: ",TEXT($M7,"₺ #,##0")))
UR-01,Sade Poğaça,Yumurta,kg,0.02,45,0.05,0.05,=IF($E8="",0,$E8*$F8),=IF($E8="",0,$E8*(1+$G8)*$F8),=IF($E8="",0,$F8*(1+$H8)),=IF($E8="",0,$E8*(1+$G8)*$K8),=IF($E8="",0,$L8-$J8),=IF($B8="","",CONCATENATE("Ürün: ",$B8," | Hammadde: ",$C8," | Fark: ",TEXT($M8,"₺ #,##0")))
UR-01,Sade Poğaça,Tuz,kg,0.002,8,0.02,0.02,=IF($E9="",0,$E9*$F9),=IF($E9="",0,$E9*(1+$G9)*$F9),=IF($E9="",0,$F9*(1+$H9)),=IF($E9="",0,$E9*(1+$G9)*$K9),=IF($E9="",0,$L9-$J9),=IF($B9="","",CONCATENATE("Ürün: ",$B9," | Hammadde: ",$C9," | Fark: ",TEXT($M9,"₺ #,##0")))
UR-01,Sade Poğaça,Maya,kg,0.003,30,0.03,0.04,=IF($E10="",0,$E10*$F10),=IF($E10="",0,$E10*(1+$G10)*$F10),=IF($E10="",0,$F10*(1+$H10)),=IF($E10="",0,$E10*(1+$G10)*$K10),=IF($E10="",0,$L10-$J10),=IF($B10="","",CONCATENATE("Ürün: ",$B10," | Hammadde: ",$C10," | Fark: ",TEXT($M10,"₺ #,##0")))
UR-02,Tam Buğday Ekmeği,Un,kg,0.06,20,0.05,0.15,=IF($E11="",0,$E11*$F11),=IF($E11="",0,$E11*(1+$G11)*$F11),=IF($E11="",0,$F11*(1+$H11)),=IF($E11="",0,$E11*(1+$G11)*$K11),=IF($E11="",0,$L11-$J11),=IF($B11="","",CONCATENATE("Ürün: ",$B11," | Hammadde: ",$C11," | Fark: ",TEXT($M11,"₺ #,##0")))
UR-02,Tam Buğday Ekmeği,Tam Buğday Unu,kg,0.02,25,0.05,0.12,=IF($E12="",0,$E12*$F12),=IF($E12="",0,$E12*(1+$G12)*$F12),=IF($E12="",0,$F12*(1+$H12)),=IF($E12="",0,$E12*(1+$G12)*$K12),=IF($E12="",0,$L12-$J12),=IF($B12="","",CONCATENATE("Ürün: ",$B12," | Hammadde: ",$C12," | Fark: ",TEXT($M12,"₺ #,##0")))
UR-02,Tam Buğday Ekmeği,Maya,kg,0.004,30,0.03,0.04,=IF($E13="",0,$E13*$F13),=IF($E13="",0,$E13*(1+$G13)*$F13),=IF($E13="",0,$F13*(1+$H13)),=IF($E13="",0,$E13*(1+$G13)*$K13),=IF($E13="",0,$L13-$J13),=IF($B13="","",CONCATENATE("Ürün: ",$B13," | Hammadde: ",$C13," | Fark: ",TEXT($M13,"₺ #,##0")))
UR-02,Tam Buğday Ekmeği,Tuz,kg,0.003,8,0.02,0.02,=IF($E14="",0,$E14*$F14),=IF($E14="",0,$E14*(1+$G14)*$F14),=IF($E14="",0,$F14*(1+$H14)),=IF($E14="",0,$E14*(1+$G14)*$K14),=IF($E14="",0,$L14-$J14),=IF($B14="","",CONCATENATE("Ürün: ",$B14," | Hammadde: ",$C14," | Fark: ",TEXT($M14,"₺ #,##0")))
UR-03,Açma,Un,kg,0.05,20,0.05,0.15,=IF($E15="",0,$E15*$F15),=IF($E15="",0,$E15*(1+$G15)*$F15),=IF($E15="",0,$F15*(1+$H15)),=IF($E15="",0,$E15*(1+$G15)*$K15),=IF($E15="",0,$L15-$J15),=IF($B15="","",CONCATENATE("Ürün: ",$B15," | Hammadde: ",$C15," | Fark: ",TEXT($M15,"₺ #,##0")))
