IslemId,KaynakKartId,Tarih,OncekiDurum,Durum,BasvuruTutar,BelgeTutar,KontrolTutar,TasdikTutar,ArsivTutar,Tutar,Donem,Aciklama
YTK-00001,MUK-00001,11.08.2026,,TASLAK,450000,450000,450000,0,0,450000,2026-08,Tasdik kontrol kalemi 1
YTK-00002,MUK-00002,08.08.2026,TASLAK,INCELEME,320000,320000,320000,0,0,320000,2026-08,Tasdik kontrol kalemi 2
YTK-00003,MUK-00003,05.08.2026,INCELEME,EKSIK,780000,780000,780000,0,0,780000,2026-08,Tasdik kontrol kalemi 3
YTK-00004,MUK-00004,02.08.2026,INCELEME,TASDIK,210000,210000,210000,210000,210000,210000,2026-08,Tasdik kontrol kalemi 4
YTK-00005,MUK-00005,30.07.2026,INCELEME,DURDUR,950000,950000,950000,0,0,950000,2026-08,Tasdik kontrol kalemi 5
YTK-00006,MUK-00006,27.07.2026,EKSIK,INCELEME,280000,280000,280000,0,0,280000,2026-08,Tasdik kontrol kalemi 6
YTK-00007,MUK-00007,24.07.2026,,TASLAK,190000,190000,190000,0,0,190000,2026-08,Tasdik kontrol kalemi 7
YTK-00008,MUK-00008,21.07.2026,TASLAK,INCELEME,410000,410000,410000,0,0,410000,2026-08,Tasdik kontrol kalemi 8
YTK-00009,MUK-00001,18.07.2026,,TASLAK,450000,450000,450000,0,0,450000,2026-08,Tasdik kontrol kalemi 9
YTK-00010,MUK-00002,15.07.2026,TASLAK,INCELEME,320000,320000,320000,0,0,320000,2026-08,Tasdik kontrol kalemi 10
YTK-00011,MUK-00003,12.07.2026,INCELEME,EKSIK,780000,780000,780000,0,0,780000,2026-08,Tasdik kontrol kalemi 11
YTK-00012,MUK-00004,09.07.2026,INCELEME,TASDIK,210000,225000,225000,225000,225000,210000,2026-08,Tasdik kontrol kalemi 12
YTK-00013,MUK-00005,06.07.2026,INCELEME,DURDUR,950000,950000,950000,0,0,950000,2026-08,Tasdik kontrol kalemi 13
YTK-00014,MUK-00006,03.07.2026,EKSIK,INCELEME,280000,280000,280000,0,0,280000,2026-08,Tasdik kontrol kalemi 14
YTK-00015,MUK-00007,30.06.2026,,TASLAK,190000,190000,190000,0,0,190000,2026-08,Tasdik kontrol kalemi 15
YTK-00016,MUK-00008,27.06.2026,TASLAK,INCELEME,410000,410000,410000,0,0,410000,2026-08,Tasdik kontrol kalemi 16
YTK-00017,MUK-00001,24.06.2026,,TASLAK,450000,450000,450000,0,0,450000,2026-08,Tasdik kontrol kalemi 17
YTK-00018,MUK-00002,21.06.2026,TASLAK,TASDIK,320000,320000,320000,320000,320000,320000,2026-08,Tasdik kontrol kalemi 18
YTK-00019,MUK-00003,18.06.2026,INCELEME,EKSIK,780000,795000,795000,0,0,780000,2026-08,Tasdik kontrol kalemi 19
YTK-00020,MUK-00004,15.06.2026,TASDIK,INCELEME,210000,210000,210000,0,0,210000,2026-08,Tasdik kontrol kalemi 20
YTK-00021,MUK-00005,12.06.2026,INCELEME,DURDUR,950000,950000,950000,0,0,950000,2026-08,Tasdik kontrol kalemi 21
YTK-00022,,09.06.2026,EKSIK,INCELEME,280000,280000,280000,0,0,280000,2026-08,Tasdik kontrol kalemi 22
YTK-00023,MUK-00007,06.06.2026,,TASLAK,190000,190000,190000,0,0,190000,2026-08,Tasdik kontrol kalemi 23
YTK-00024,MUK-00008,03.06.2026,TASLAK,INCELEME,410000,410000,410000,0,0,410000,2026-08,Tasdik kontrol kalemi 24
YTK-00025,MUK-99999,14.08.2026,,TASLAK,450000,450000,450000,0,0,450000,2026-08,Tasdik kontrol kalemi 25
YTK-00026,MUK-00002,11.08.2026,TASLAK,INCELEME,320000,320000,320000,0,0,320000,2026-08,Tasdik kontrol kalemi 26
YTK-00027,MUK-00003,08.08.2026,INCELEME,EKSIK,780000,780000,780000,0,0,780000,2026-08,Tasdik kontrol kalemi 27
YTK-00028,MUK-00004,05.08.2026,INCELEME,TASDIK,210000,210000,210000,210000,210000,210000,2026-08,Tasdik kontrol kalemi 28
