slug,ad,fiyat_tl,shopier_id
13-haftalik-nakit-akisi-ve-odeme-planlama-sistemi,13 Haftalık Nakit Akışı ve Ödeme Planlama Sistemi,999,49653399
akilli-kasa-defteri-ve-nakit-kontrol-sistemi,Akıllı Kasa Defteri ve Nakit Kontrol Sistemi,499,49652321
amortisman-2026-yeniden-degerleme,Amortisman + 2026 Yeniden Değerleme,499,49652321
amortisman-ve-sabit-kiymet-satis-zamanlama-stratejisti,Amortisman & Sabit Kıymet Satış Zamanlama Stratejisti,799,49652403
asgari-ucret-zam-etkisi-fiyat-ayarlama-cetveli,Asgari Ücret Zam Etkisi & Fiyat Ayarlama Cetveli,799,49652403
asiri-dusuk-teklif-savunma-robotu,İhale Elinden Gidiyor Mu? (Aşırı Düşük Teklif Savunma Robotu),1499,49653437
aylik-patron-finans-paneli,Aylık Patron Finans Paneli,999,49653399
banka-kredi-ve-taksit-takip-sistemi,"Banka, Kredi ve Taksit Takip Sistemi",799,49652403
cari-ba-bs-toplu-mutabakat,Cari ve Ba-Bs Toplu Mutabakat Motoru,499,49652321
cari-hesap-tahsilat-ve-musteri-risk-takip-sistemi,"Cari Hesap, Tahsilat ve Müşteri Risk Takip Sistemi",799,49652403
cek-senet-ve-vade-risk-sistemi,Çek–Senet ve Vade Risk Sistemi,799,49652403
defter-beyan-e-arsiv-aktarim,Defter Beyan e-Arşiv Aktarım Düzenleyici,499,49652321
doviz-acik-pozisyonu-ve-kur-riski-stres-testi,Döviz Açık Pozisyonu ve Kur Riski Stres Testi,999,49653399
e-fatura-satir-defteri-pdf-kaniti,Toplu e-Fatura Satır Defteri ve PDF Kanıtı,499,49652321
e-fatura-toplu-donusturucu,e-Fatura Toplu Dönüştürücü,799,49652403
fazla-mesai-ve-isci-dava-riski-tespit-dosyasi,Fazla Mesai ve İşçi Dava Riski Tespit Dosyası,999,49653399
gunluk-gelir-gider-ve-gercek-karlilik-sistemi,Günlük Gelir–Gider ve Gerçek Kârlılık Sistemi,799,49652403
